{change by reversal, turn, reverse}(nselect:2) 	 	 {revert, return, retrovert, regress, turn back}(nselect:0)
{change by reversal, turn, reverse}(nselect:2) 	 	 {desynchronize, desynchronise}(nselect:0)
{change by reversal, turn, reverse}(nselect:2) 	 	 {desecrate, unhallow, deconsecrate}(nselect:0)
{change by reversal, turn, reverse}(nselect:2) 	 	 {undo}(nselect:0)
{change}(nselect:0) 	 	 {change integrity}(nselect:0)
{change integrity}(nselect:0) 	 	 {reform}(nselect:0)
{change integrity}(nselect:0) 	 	 {polymerize, polymerise}(nselect:0)
{change integrity}(nselect:0) 	 	 {polymerize, polymerise}(nselect:0)
{change integrity}(nselect:0) 	 	 {explode, burst}(nselect:0)
{change integrity}(nselect:0) 	 	 {explode, detonate, blow up, set off}(nselect:0)
{change integrity}(nselect:0) 	 	 {cook}(nselect:0)
{change integrity}(nselect:0) 	 	 {break up, disperse, scatter}(nselect:0)
{change integrity}(nselect:0) 	 	 {break, separate, split up, fall apart, come apart}(nselect:0)
{change integrity}(nselect:0) 	 	 {pasteurize, pasteurise}(nselect:0)
{change integrity}(nselect:0) 	 	 {condense}(nselect:0)
{change integrity}(nselect:0) 	 	 {evaporate, vaporize, vaporise}(nselect:0)
{change integrity}(nselect:0) 	 	 {burn, incinerate}(nselect:0)
{change integrity}(nselect:0) 	 	 {blend, flux, mix, conflate, commingle, immix, fuse, coalesce, meld, combine, merge}(nselect:0)
{change integrity}(nselect:0) 	 	 {disintegrate}(nselect:0)
{change integrity}(nselect:0) 	 	 {disintegrate, decay, decompose}(nselect:0)
{change integrity}(nselect:0) 	 	 {thicken, inspissate}(nselect:0)
{change integrity}(nselect:0) 	 	 {gasify, vaporize, vaporise, aerify}(nselect:0)
{change integrity}(nselect:0) 	 	 {liquefy, flux, liquify}(nselect:0)
{change integrity}(nselect:0) 	 	 {solidify}(nselect:0)
{change integrity}(nselect:0) 	 	 {solidify}(nselect:0)
{change integrity}(nselect:0) 	 	 {crystallize, crystallise, crystalize, crystalise}(nselect:0)
{change integrity}(nselect:0) 	 	 {dissolve, resolve, break up}(nselect:0)
{change integrity}(nselect:0) 	 	 {demulsify}(nselect:0)
{change integrity}(nselect:0) 	 	 {jellify, jelly}(nselect:0)
{change integrity}(nselect:0) 	 	 {jellify}(nselect:0)
{change integrity}(nselect:0) 	 	 {separate}(nselect:0)
{change integrity}(nselect:0) 	 	 {crumble, crumple, tumble, break down, collapse}(nselect:0)
{change integrity}(nselect:0) 	 	 {divide, split, split up, separate, dissever, carve up}(nselect:1)
{divide, split, split up, separate, dissever, carve up}(nselect:1) 	 	 {subdivide}(nselect:0)
{divide, split, split up, separate, dissever, carve up}(nselect:1) 	 	 {format, initialize, initialise}(nselect:0)
{divide, split, split up, separate, dissever, carve up}(nselect:1) 	 	 {sectionalize, sectionalise}(nselect:0)
{divide, split, split up, separate, dissever, carve up}(nselect:1) 	 	 {triangulate}(nselect:0)
{divide, split, split up, separate, dissever, carve up}(nselect:1) 	 	 {unitize, unitise}(nselect:0)
{divide, split, split up, separate, dissever, carve up}(nselect:1) 	 	 {lot}(nselect:0)
{divide, split, split up, separate, dissever, carve up}(nselect:1) 	 	 {parcel}(nselect:0)
{divide, split, split up, separate, dissever, carve up}(nselect:1) 	 	 {sliver, splinter}(nselect:0)
{divide, split, split up, separate, dissever, carve up}(nselect:1) 	 	 {paragraph}(nselect:0)
{divide, split, split up, separate, dissever, carve up}(nselect:1) 	 	 {canton}(nselect:0)
{divide, split, split up, separate, dissever, carve up}(nselect:1) 	 	 {Balkanize, Balkanise}(nselect:0)
{change}(nselect:0) 	 	 {change shape, change form, deform}(nselect:0)
{change}(nselect:0) 	 	 {form}(nselect:0)
{change}(nselect:0) 	 	 {change state, turn}(nselect:0)
{change state, turn}(nselect:0) 	 	 {wake up, awake, arouse, awaken, wake, come alive, waken}(nselect:0)
{change state, turn}(nselect:0) 	 	 {zonk out, pass out, black out}(nselect:0)
{change state, turn}(nselect:0) 	 	 {come to, revive, resuscitate}(nselect:0)
{change state, turn}(nselect:0) 	 	 {tense, tense up}(nselect:0)
{change state, turn}(nselect:0) 	 	 {relax, loosen up, unbend, unwind, decompress, slow down}(nselect:0)
{change state, turn}(nselect:0) 	 	 {reduce, melt off, lose weight, slim, slenderize, thin, slim down}(nselect:0)
{change state, turn}(nselect:0) 	 	 {gain, put on}(nselect:0)
{change state, turn}(nselect:0) 	 	 {dress, clothe, enclothe, garb, raiment, tog, garment, habilitate, fit out, apparel}(nselect:0)
{change state, turn}(nselect:0) 	 	 {cross-fertilize, cross-fertilise}(nselect:0)
{change state, turn}(nselect:0) 	 	 {conceive}(nselect:0)
{change state, turn}(nselect:0) 	 	 {secularize, secularise}(nselect:0)
{change state, turn}(nselect:0) 	 	 {citrate}(nselect:0)
{change state, turn}(nselect:0) 	 	 {equilibrate}(nselect:0)
{change state, turn}(nselect:0) 	 	 {fall}(nselect:0)
{change state, turn}(nselect:0) 	 	 {worsen, decline}(nselect:0)
{change state, turn}(nselect:0) 	 	 {better, improve, ameliorate, meliorate}(nselect:1)
{better, improve, ameliorate, meliorate}(nselect:1) 	 	 {recuperate, recover, convalesce}(nselect:0)
{better, improve, ameliorate, meliorate}(nselect:1) 	 	 {heal}(nselect:0)
{better, improve, ameliorate, meliorate}(nselect:1) 	 	 {reform, straighten out, see the light}(nselect:0)
{better, improve, ameliorate, meliorate}(nselect:1) 	 	 {surge}(nselect:0)
{better, improve, ameliorate, meliorate}(nselect:1) 	 	 {turn around, pick up}(nselect:0)
{better, improve, ameliorate, meliorate}(nselect:1) 	 	 {get well, get over, bounce back}(nselect:0)
{better, improve, ameliorate, meliorate}(nselect:1) 	 	 {mend, heal}(nselect:0)
{better, improve, ameliorate, meliorate}(nselect:1) 	 	 {fructify}(nselect:0)
{better, improve, ameliorate, meliorate}(nselect:1) 	 	 {upgrade}(nselect:0)
{change state, turn}(nselect:0) 	 	 {disengage}(nselect:0)
{change state, turn}(nselect:0) 	 	 {overgrow}(nselect:0)
