root(nselect:0) 	 	 Verbo(nselect:0)
{housing, lodging, living accommodations}(nselect:0) 	 	 {hostel, youth hostel, student lodging}(nselect:0)
{housing, lodging, living accommodations}(nselect:0) 	 	 {living quarters, quarters}(nselect:0)
{housing, lodging, living accommodations}(nselect:0) 	 	 {mobile home, manufactured home}(nselect:0)
{housing, lodging, living accommodations}(nselect:0) 	 	 {pied-a-terre}(nselect:0)
{housing, lodging, living accommodations}(nselect:0) 	 	 {quartering}(nselect:0)
{housing, lodging, living accommodations}(nselect:0) 	 	 {rattrap}(nselect:0)
{housing, lodging, living accommodations}(nselect:0) 	 	 {shelter}(nselect:0)
{housing, lodging, living accommodations}(nselect:0) 	 	 {tract housing}(nselect:0)
{housing, lodging, living accommodations}(nselect:0) 	 	 {dwelling, home, domicile, abode, habitation, dwelling house}(nselect:3)
{dwelling, home, domicile, abode, habitation, dwelling house}(nselect:3) 	 	 {cliff dwelling}(nselect:0)
{dwelling, home, domicile, abode, habitation, dwelling house}(nselect:3) 	 	 {condominium, condo}(nselect:0)
{dwelling, home, domicile, abode, habitation, dwelling house}(nselect:3) 	 	 {fixer-upper}(nselect:0)
{dwelling, home, domicile, abode, habitation, dwelling house}(nselect:3) 	 	 {hearth, fireside}(nselect:0)
{dwelling, home, domicile, abode, habitation, dwelling house}(nselect:3) 	 	 {hermitage}(nselect:0)
{dwelling, home, domicile, abode, habitation, dwelling house}(nselect:3) 	 	 {homestead}(nselect:0)
{dwelling, home, domicile, abode, habitation, dwelling house}(nselect:3) 	 	 {house}(nselect:0)
{dwelling, home, domicile, abode, habitation, dwelling house}(nselect:3) 	 	 {lake dwelling, pile dwelling}(nselect:0)
{dwelling, home, domicile, abode, habitation, dwelling house}(nselect:3) 	 	 {lodge, indian lodge}(nselect:0)
{dwelling, home, domicile, abode, habitation, dwelling house}(nselect:3) 	 	 {messuage}(nselect:0)
{dwelling, home, domicile, abode, habitation, dwelling house}(nselect:3) 	 	 {semi-detached house}(nselect:0)
{dwelling, home, domicile, abode, habitation, dwelling house}(nselect:3) 	 	 {vacation home}(nselect:0)
{dwelling, home, domicile, abode, habitation, dwelling house}(nselect:3) 	 	 {yurt}(nselect:0)
{structure, construction}(nselect:0) 	 	 {hull}(nselect:0)
{structure, construction}(nselect:0) 	 	 {jungle gym}(nselect:0)
{structure, construction}(nselect:0) 	 	 {lamination}(nselect:0)
{structure, construction}(nselect:0) 	 	 {landing, landing place}(nselect:0)
{structure, construction}(nselect:0) 	 	 {lookout, observation tower, lookout station, observatory}(nselect:0)
{structure, construction}(nselect:0) 	 	 {masonry}(nselect:0)
{structure, construction}(nselect:0) 	 	 {memorial, monument}(nselect:0)
{structure, construction}(nselect:0) 	 	 {mound, hill}(nselect:0)
{structure, construction}(nselect:0) 	 	 {obstruction, obstructor, obstructer, impediment, impedimenta}(nselect:0)
{structure, construction}(nselect:0) 	 	 {partition, divider}(nselect:0)
{structure, construction}(nselect:0) 	 	 {platform, weapons platform}(nselect:0)
{structure, construction}(nselect:0) 	 	 {porch}(nselect:0)
{structure, construction}(nselect:0) 	 	 {post and lintel}(nselect:0)
{structure, construction}(nselect:0) 	 	 {prefab}(nselect:0)
{structure, construction}(nselect:0) 	 	 {projection}(nselect:0)
{structure, construction}(nselect:0) 	 	 {public works}(nselect:0)
{structure, construction}(nselect:0) 	 	 {sail}(nselect:0)
{structure, construction}(nselect:0) 	 	 {set-back, setoff, offset}(nselect:0)
{structure, construction}(nselect:0) 	 	 {shelter}(nselect:0)
{structure, construction}(nselect:0) 	 	 {shoebox}(nselect:0)
{structure, construction}(nselect:0) 	 	 {signboard, sign}(nselect:0)
{structure, construction}(nselect:0) 	 	 {stadium, bowl, arena, sports stadium}(nselect:0)
{structure, construction}(nselect:0) 	 	 {superstructure}(nselect:0)
{structure, construction}(nselect:0) 	 	 {supporting structure}(nselect:0)
{structure, construction}(nselect:0) 	 	 {tower}(nselect:0)
{structure, construction}(nselect:0) 	 	 {transept}(nselect:0)
{structure, construction}(nselect:0) 	 	 {trestlework}(nselect:0)
{structure, construction}(nselect:0) 	 	 {vaulting}(nselect:0)
{structure, construction}(nselect:0) 	 	 {ways, shipway, slipway}(nselect:0)
{structure, construction}(nselect:0) 	 	 {wellhead}(nselect:0)
{structure, construction}(nselect:0) 	 	 {wind tunnel}(nselect:0)
{structure, construction}(nselect:0) 	 	 {honeycomb}(nselect:0)
{structure, construction}(nselect:0) 	 	 {balance, equilibrium, equipoise, counterbalance}(nselect:0)
{structure, construction}(nselect:0) 	 	 {area}(nselect:2)
{area}(nselect:2) 	 	 {aisle}(nselect:0)
{area}(nselect:2) 	 	 {auditorium}(nselect:0)
{area}(nselect:2) 	 	 {baggage claim}(nselect:0)
{area}(nselect:2) 	 	 {box}(nselect:0)
{area}(nselect:2) 	 	 {breakfast area, breakfast nook}(nselect:0)
{area}(nselect:2) 	 	 {bullpen}(nselect:0)
{area}(nselect:2) 	 	 {chancel, sanctuary, bema}(nselect:0)
{area}(nselect:2) 	 	 {choir}(nselect:0)
{area}(nselect:2) 	 	 {corner, nook}(nselect:0)
{area}(nselect:2) 	 	 {court, courtyard}(nselect:0)
{area}(nselect:2) 	 	 {dead-air space}(nselect:0)
{area}(nselect:2) 	 	 {dining area}(nselect:0)
{area}(nselect:2) 	 	 {enclosure}(nselect:0)
{area}(nselect:2) 	 	 {goalmouth}(nselect:0)
{area}(nselect:2) 	 	 {hideaway, retreat}(nselect:0)
{area}(nselect:2) 	 	 {nave}(nselect:0)
{area}(nselect:2) 	 	 {orchestra pit, pit}(nselect:0)
{area}(nselect:2) 	 	 {panopticon}(nselect:0)
{area}(nselect:2) 	 	 {patio, terrace}(nselect:0)
{area}(nselect:2) 	 	 {pit}(nselect:0)
{area}(nselect:2) 	 	 {pit}(nselect:0)
{area}(nselect:2) 	 	 {press gallery}(nselect:0)
{area}(nselect:2) 	 	 {pull-off, rest area, rest stop, layby, lay-by}(nselect:0)
{area}(nselect:2) 	 	 {quad, quadrangle}(nselect:0)
{area}(nselect:2) 	 	 {room}(nselect:0)
{area}(nselect:2) 	 	 {second balcony, family circle, upper balcony, peanut gallery}(nselect:0)
{area}(nselect:2) 	 	 {storage space}(nselect:0)
{area}(nselect:2) 	 	 {threshing floor}(nselect:0)
{area}(nselect:2) 	 	 {turnaround}(nselect:0)
{artifact, artefact}(nselect:0) 	 	 {creation}(nselect:0)
{creation}(nselect:0) 	 	 {art, fine art}(nselect:0)
{art, fine art}(nselect:0) 	 	 {graphic art}(nselect:0)
{graphic art}(nselect:0) 	 	 {painting, picture}(nselect:0)
{painting, picture}(nselect:0) 	 	 {abstraction}(nselect:0)
{painting, picture}(nselect:0) 	 	 {cityscape}(nselect:0)
{painting, picture}(nselect:0) 	 	 {daub}(nselect:0)
{painting, picture}(nselect:0) 	 	 {distemper}(nselect:0)
{painting, picture}(nselect:0) 	 	 {finger-painting}(nselect:0)
{painting, picture}(nselect:0) 	 	 {icon, ikon}(nselect:0)
{painting, picture}(nselect:0) 	 	 {landscape}(nselect:0)
{painting, picture}(nselect:0) 	 	 {miniature, illumination}(nselect:0)
{painting, picture}(nselect:0) 	 	 {monochrome}(nselect:0)
{painting, picture}(nselect:0) 	 	 {nude, nude painting}(nselect:0)
{painting, picture}(nselect:0) 	 	 {oil painting}(nselect:0)
{painting, picture}(nselect:0) 	 	 {pentimento}(nselect:0)
{painting, picture}(nselect:0) 	 	 {sand painting}(nselect:0)
{painting, picture}(nselect:0) 	 	 {seascape, waterscape}(nselect:0)
{painting, picture}(nselect:0) 	 	 {semi-abstraction}(nselect:0)
{painting, picture}(nselect:0) 	 	 {still life}(nselect:0)
{painting, picture}(nselect:0) 	 	 {tanka}(nselect:0)
{painting, picture}(nselect:0) 	 	 {trompe l'oeil}(nselect:0)
{painting, picture}(nselect:0) 	 	 {watercolor, water-color, watercolour, water-colour}(nselect:0)
{painting, picture}(nselect:0) 	 	 {mural, wall painting}(nselect:7)
{mural, wall painting}(nselect:7) 	 	 {fresco}(nselect:0)
{creation}(nselect:0) 	 	 {product, production}(nselect:0)
{product, production}(nselect:0) 	 	 {end product, output}(nselect:0)
{end product, output}(nselect:0) 	 	 {crop}(nselect:0)
{end product, output}(nselect:0) 	 	 {turning}(nselect:0)
{end product, output}(nselect:0) 	 	 {oeuvre, work, body of work}(nselect:2)
{oeuvre, work, body of work}(nselect:2) 	 	 {writing}(nselect:0)
{creation}(nselect:0) 	 	 {piece}(nselect:0)
{piece}(nselect:0) 	 	 {morceau}(nselect:0)
{piece}(nselect:0) 	 	 {afterpiece}(nselect:0)
{piece}(nselect:0) 	 	 {fragment}(nselect:0)
{piece}(nselect:0) 	 	 {hiatus}(nselect:0)
{piece}(nselect:0) 	 	 {article}(nselect:6)
{article}(nselect:6) 	 	 {column, editorial, newspaper column}(nselect:0)
{article}(nselect:6) 	 	 {feature, feature article}(nselect:0)
{article}(nselect:6) 	 	 {magazine article}(nselect:0)
{article}(nselect:6) 	 	 {news article, news story, newspaper article}(nselect:0)
{article}(nselect:6) 	 	 {offprint, reprint, separate}(nselect:0)
{article}(nselect:6) 	 	 {paper}(nselect:0)
{article}(nselect:6) 	 	 {think piece}(nselect:0)
{artifact, artefact}(nselect:0) 	 	 {surface}(nselect:0)
{surface}(nselect:0) 	 	 {horizontal surface, level}(nselect:0)
{horizontal surface, level}(nselect:0) 	 	 {paved surface}(nselect:0)
{paved surface}(nselect:0) 	 	 {apron}(nselect:0)
{paved surface}(nselect:0) 	 	 {pavement, paving}(nselect:0)
{paved surface}(nselect:0) 	 	 {road surface}(nselect:0)
{paved surface}(nselect:0) 	 	 {skidpan}(nselect:0)
{paved surface}(nselect:0) 	 	 {tarmacadam, tarmac, macadam}(nselect:0)
{paved surface}(nselect:0) 	 	 {taxiway, taxi strip}(nselect:0)
{paved surface}(nselect:0) 	 	 {runway}(nselect:31)
{artifact, artefact}(nselect:0) 	 	 {decoration, ornament, ornamentation}(nselect:0)
{decoration, ornament, ornamentation}(nselect:0) 	 	 {adornment}(nselect:0)
{adornment}(nselect:0) 	 	 {jewelry, jewellery}(nselect:0)
{jewelry, jewellery}(nselect:0) 	 	 {bead}(nselect:0)
{jewelry, jewellery}(nselect:0) 	 	 {bijou}(nselect:0)
{jewelry, jewellery}(nselect:0) 	 	 {bling, bling bling}(nselect:0)
{jewelry, jewellery}(nselect:0) 	 	 {bracelet, bangle}(nselect:0)
{jewelry, jewellery}(nselect:0) 	 	 {clip}(nselect:0)
{jewelry, jewellery}(nselect:0) 	 	 {cufflink}(nselect:0)
{jewelry, jewellery}(nselect:0) 	 	 {earring}(nselect:0)
{jewelry, jewellery}(nselect:0) 	 	 {necklace}(nselect:0)
{jewelry, jewellery}(nselect:0) 	 	 {pin}(nselect:0)
{jewelry, jewellery}(nselect:0) 	 	 {ring, band}(nselect:0)
{jewelry, jewellery}(nselect:0) 	 	 {tie clip}(nselect:0)
{jewelry, jewellery}(nselect:0) 	 	 {jewel, gem, precious stone}(nselect:5)
{jewel, gem, precious stone}(nselect:5) 	 	 {crown jewel}(nselect:0)
{jewel, gem, precious stone}(nselect:5) 	 	 {solitaire}(nselect:0)
{jewel, gem, precious stone}(nselect:5) 	 	 {diamond}(nselect:0)
{jewel, gem, precious stone}(nselect:5) 	 	 {ruby}(nselect:0)
{jewel, gem, precious stone}(nselect:5) 	 	 {pearl}(nselect:0)
{jewel, gem, precious stone}(nselect:5) 	 	 {emerald}(nselect:0)
{jewel, gem, precious stone}(nselect:5) 	 	 {sapphire}(nselect:0)
{object, physical object}(nselect:0) 	 	 {location}(nselect:0)
{location}(nselect:0) 	 	 {region}(nselect:0)
{region}(nselect:0) 	 	 {geographical area, geographic area, geographical region, geographic region}(nselect:0)
{geographical area, geographic area, geographical region, geographic region}(nselect:0) 	 	 {tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {baseball diamond, diamond, infield}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {center field, centerfield, center}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {left field, leftfield, left}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {outfield}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {right field, rightfield, right}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {short}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {yard, railway yard, railyard}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {desert}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {oasis}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {battlefield, battleground, field of battle, field of honor, field}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {minefield}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {breeding ground}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {clearing, glade}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {field}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {field of fire}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {grounds}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {playing field, athletic field, playing area, field}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {industrial park}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {grassland}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {mud flat}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {parade ground}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {fairground}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {midway}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {fairway}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {park, parkland}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {park, commons, common, green}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {picnic area, picnic ground}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {public square, square}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {toll plaza}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {range}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {sector}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {subdivision}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {mine field}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {terrain}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {plot, plot of land, plot of ground, patch}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {lot}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {yard}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {yard}(nselect:0)
{tract, piece of land, piece of ground, parcel of land, parcel}(nselect:0) 	 	 {site, land site}(nselect:6)
{site, land site}(nselect:6) 	 	 {camp, summer camp}(nselect:0)
{site, land site}(nselect:6) 	 	 {apron}(nselect:0)
{site, land site}(nselect:6) 	 	 {bomb site}(nselect:0)
{site, land site}(nselect:6) 	 	 {campsite, campground, camping site, camping ground, bivouac, encampment, camping area}(nselect:0)
{site, land site}(nselect:6) 	 	 {cemetery, graveyard, burial site, burial ground, burying ground, memorial park, necropolis}(nselect:0)
{site, land site}(nselect:6) 	 	 {dig, excavation, archeological site}(nselect:0)
{site, land site}(nselect:6) 	 	 {dump, garbage dump, trash dump, rubbish dump, wasteyard, waste-yard, dumpsite}(nselect:0)
{site, land site}(nselect:6) 	 	 {fairway}(nselect:0)
{site, land site}(nselect:6) 	 	 {green, putting green, putting surface}(nselect:0)
{site, land site}(nselect:6) 	 	 {launching site}(nselect:0)
{site, land site}(nselect:6) 	 	 {monument}(nselect:0)
{site, land site}(nselect:6) 	 	 {premises}(nselect:0)
{site, land site}(nselect:6) 	 	 {rough}(nselect:0)
{site, land site}(nselect:6) 	 	 {tee, teeing ground}(nselect:0)
{site, land site}(nselect:6) 	 	 {toxic site, toxic waste area, Superfund site}(nselect:0)
{geographical area, geographic area, geographical region, geographic region}(nselect:0) 	 	 {urban area, populated area}(nselect:0)
{urban area, populated area}(nselect:0) 	 	 {municipality}(nselect:0)
{municipality}(nselect:0) 	 	 {town}(nselect:0)
{municipality}(nselect:0) 	 	 {city, metropolis, urban center}(nselect:16)
{city, metropolis, urban center}(nselect:16) 	 	 {national capital}(nselect:0)
{city, metropolis, urban center}(nselect:16) 	 	 {provincial capital}(nselect:0)
{city, metropolis, urban center}(nselect:16) 	 	 {state capital}(nselect:0)
{geographical area, geographic area, geographical region, geographic region}(nselect:0) 	 	 {place, property}(nselect:0)
{place, property}(nselect:0) 	 	 {boatyard}(nselect:0)
{place, property}(nselect:0) 	 	 {sanctuary}(nselect:0)
{place, property}(nselect:0) 	 	 {colony}(nselect:0)
{place, property}(nselect:0) 	 	 {hatchery}(nselect:0)
{place, property}(nselect:0) 	 	 {center, centre}(nselect:3)
{center, centre}(nselect:3) 	 	 {nerve center, nerve centre}(nselect:0)
{center, centre}(nselect:3) 	 	 {capital}(nselect:0)
{region}(nselect:0) 	 	 {district, territory, territorial dominion, dominion}(nselect:0)
{district, territory, territorial dominion, dominion}(nselect:0) 	 	 {city district}(nselect:0)
{city district}(nselect:0) 	 	 {Barbary Coast}(nselect:0)
{city district}(nselect:0) 	 	 {precinct}(nselect:0)
{city district}(nselect:0) 	 	 {business district, downtown}(nselect:0)
{city district}(nselect:0) 	 	 {ghetto}(nselect:0)
{city district}(nselect:0) 	 	 {red-light district}(nselect:0)
{city district}(nselect:0) 	 	 {quarter}(nselect:0)
{city district}(nselect:0) 	 	 {waterfront}(nselect:0)
{city district}(nselect:0) 	 	 {combat zone, tenderloin}(nselect:0)
{city district}(nselect:0) 	 	 {turf}(nselect:0)
{city district}(nselect:0) 	 	 {enterprise zone}(nselect:0)
{city district}(nselect:0) 	 	 {outskirt, fringe}(nselect:0)
{city district}(nselect:0) 	 	 {slum, slum area}(nselect:3)
{slum, slum area}(nselect:3) 	 	 {shantytown}(nselect:0)
{slum, slum area}(nselect:3) 	 	 {skid row}(nselect:0)
{district, territory, territorial dominion, dominion}(nselect:0) 	 	 {administrative district, administrative division, territorial division}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {municipality}(nselect:0)
{municipality}(nselect:0) 	 	 {town}(nselect:0)
{municipality}(nselect:0) 	 	 {city, metropolis, urban center}(nselect:3)
{city, metropolis, urban center}(nselect:3) 	 	 {national capital}(nselect:0)
{city, metropolis, urban center}(nselect:3) 	 	 {provincial capital}(nselect:0)
{city, metropolis, urban center}(nselect:3) 	 	 {state capital}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {borough}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {canton}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {city}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {commune}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {county}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {county palatine}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {department}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {federal district}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {reservation, reserve}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {school district}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {shire}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {prefecture}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {state, province}(nselect:3)
{state, province}(nselect:3) 	 	 {commonwealth}(nselect:0)
{state, province}(nselect:3) 	 	 {eparchy}(nselect:0)
{state, province}(nselect:3) 	 	 {American state}(nselect:0)
{state, province}(nselect:3) 	 	 {Italian region}(nselect:0)
{state, province}(nselect:3) 	 	 {Canadian province}(nselect:0)
{state, province}(nselect:3) 	 	 {Australian state}(nselect:0)
{state, province}(nselect:3) 	 	 {Soviet Socialist Republic}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {township, town}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {ward}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {country, state, land}(nselect:11)
{country, state, land}(nselect:11) 	 	 {banana republic}(nselect:0)
{country, state, land}(nselect:11) 	 	 {fatherland, homeland, motherland, mother country, country of origin, native land}(nselect:0)
{country, state, land}(nselect:11) 	 	 {buffer state, buffer country}(nselect:0)
{country, state, land}(nselect:11) 	 	 {kingdom}(nselect:0)
{country, state, land}(nselect:11) 	 	 {tax haven}(nselect:0)
{country, state, land}(nselect:11) 	 	 {European country, European nation}(nselect:0)
{country, state, land}(nselect:11) 	 	 {African country, African nation}(nselect:0)
{country, state, land}(nselect:11) 	 	 {Asian country, Asian nation}(nselect:0)
{country, state, land}(nselect:11) 	 	 {South American country, South American nation}(nselect:0)
{country, state, land}(nselect:11) 	 	 {North American country, North American nation}(nselect:0)
{country, state, land}(nselect:11) 	 	 {sultanate}(nselect:0)
{region}(nselect:0) 	 	 {backwater}(nselect:0)
{region}(nselect:0) 	 	 {breadbasket}(nselect:0)
{region}(nselect:0) 	 	 {theater of war, theatre of war}(nselect:0)
{region}(nselect:0) 	 	 {field, field of operations, theater, theater of operations, theatre, theatre of operations}(nselect:0)
{region}(nselect:0) 	 	 {zone of interior}(nselect:0)
{region}(nselect:0) 	 	 {domain, demesne, land}(nselect:0)
{region}(nselect:0) 	 	 {northland}(nselect:0)
{region}(nselect:0) 	 	 {southland}(nselect:0)
{region}(nselect:0) 	 	 {field}(nselect:0)
{region}(nselect:0) 	 	 {biogeographical region}(nselect:0)
{region}(nselect:0) 	 	 {heartland}(nselect:0)
{region}(nselect:0) 	 	 {irredenta, irridenta}(nselect:0)
{region}(nselect:0) 	 	 {antipodes}(nselect:0)
{region}(nselect:0) 	 	 {unknown, unknown region, terra incognita}(nselect:0)
{region}(nselect:0) 	 	 {testing ground, laboratory}(nselect:0)
{region}(nselect:0) 	 	 {area, country}(nselect:3)
{area, country}(nselect:3) 	 	 {arena}(nselect:0)
{area, country}(nselect:3) 	 	 {high country}(nselect:0)
{area, country}(nselect:3) 	 	 {bed ground, bed-ground, bedground}(nselect:0)
{area, country}(nselect:3) 	 	 {broadcast area}(nselect:0)
{area, country}(nselect:3) 	 	 {center, centre, middle, heart, eye}(nselect:9)
{center, centre, middle, heart, eye}(nselect:9) 	 	 {center stage, centre stage}(nselect:0)
{center, centre, middle, heart, eye}(nselect:9) 	 	 {city center, city centre, central city}(nselect:0)
{center, centre, middle, heart, eye}(nselect:9) 	 	 {storm center, storm centre}(nselect:0)
{center, centre, middle, heart, eye}(nselect:9) 	 	 {financial center}(nselect:0)
{center, centre, middle, heart, eye}(nselect:9) 	 	 {hub}(nselect:0)
{center, centre, middle, heart, eye}(nselect:9) 	 	 {inner city}(nselect:0)
{center, centre, middle, heart, eye}(nselect:9) 	 	 {medical center}(nselect:0)
{center, centre, middle, heart, eye}(nselect:9) 	 	 {midfield}(nselect:0)
{center, centre, middle, heart, eye}(nselect:9) 	 	 {seat}(nselect:0)
{seat}(nselect:0) 	 	 {county seat, county courthouse}(nselect:0)
{seat}(nselect:0) 	 	 {county town, shire town}(nselect:0)
{seat}(nselect:0) 	 	 {see}(nselect:0)
{seat}(nselect:0) 	 	 {capital}(nselect:7)
{capital}(nselect:7) 	 	 {national capital}(nselect:0)
{capital}(nselect:7) 	 	 {provincial capital}(nselect:0)
{capital}(nselect:7) 	 	 {state capital}(nselect:0)
{center, centre, middle, heart, eye}(nselect:9) 	 	 {midstream}(nselect:0)
{area, country}(nselect:3) 	 	 {corner}(nselect:0)
{area, country}(nselect:3) 	 	 {corner}(nselect:0)
{area, country}(nselect:3) 	 	 {disaster area}(nselect:0)
{area, country}(nselect:3) 	 	 {haunt, hangout, resort, repair, stamping ground}(nselect:0)
{area, country}(nselect:3) 	 	 {hearth, fireside}(nselect:0)
{area, country}(nselect:3) 	 	 {hunting ground}(nselect:0)
{area, country}(nselect:3) 	 	 {no-go area}(nselect:0)
{area, country}(nselect:3) 	 	 {no man's land}(nselect:0)
{area, country}(nselect:3) 	 	 {quadrant}(nselect:0)
{area, country}(nselect:3) 	 	 {quadrant}(nselect:0)
{area, country}(nselect:3) 	 	 {rain shadow}(nselect:0)
{area, country}(nselect:3) 	 	 {staging area}(nselect:0)
{area, country}(nselect:3) 	 	 {open, clear}(nselect:0)
{area, country}(nselect:3) 	 	 {free port, free zone}(nselect:0)
{area, country}(nselect:3) 	 	 {anchorage, anchorage ground}(nselect:0)
{area, country}(nselect:3) 	 	 {resort area, playground, vacation spot}(nselect:0)
{area, country}(nselect:3) 	 	 {block, city block}(nselect:0)
{area, country}(nselect:3) 	 	 {neighborhood}(nselect:0)
{area, country}(nselect:3) 	 	 {retreat}(nselect:0)
{area, country}(nselect:3) 	 	 {safety, refuge}(nselect:0)
{area, country}(nselect:3) 	 	 {danger}(nselect:0)
{area, country}(nselect:3) 	 	 {scene}(nselect:0)
{area, country}(nselect:3) 	 	 {section}(nselect:0)
{area, country}(nselect:3) 	 	 {shrubbery}(nselect:0)
{area, country}(nselect:3) 	 	 {space}(nselect:0)
{area, country}(nselect:3) 	 	 {tank farm}(nselect:0)
{area, country}(nselect:3) 	 	 {winner's circle}(nselect:0)
{location}(nselect:0) 	 	 {here}(nselect:0)
{location}(nselect:0) 	 	 {there}(nselect:0)
{location}(nselect:0) 	 	 {somewhere}(nselect:0)
{location}(nselect:0) 	 	 {bilocation}(nselect:0)
{location}(nselect:0) 	 	 {seat}(nselect:0)
{location}(nselect:0) 	 	 {home}(nselect:0)
{location}(nselect:0) 	 	 {base, home}(nselect:0)
{location}(nselect:0) 	 	 {outer space, space}(nselect:0)
{location}(nselect:0) 	 	 {jungle}(nselect:0)
{location}(nselect:0) 	 	 {north}(nselect:0)
{location}(nselect:0) 	 	 {northeast}(nselect:0)
{location}(nselect:0) 	 	 {east}(nselect:0)
{location}(nselect:0) 	 	 {southeast}(nselect:0)
{location}(nselect:0) 	 	 {south}(nselect:0)
{location}(nselect:0) 	 	 {southwest}(nselect:0)
{location}(nselect:0) 	 	 {west}(nselect:0)
{location}(nselect:0) 	 	 {northwest}(nselect:0)
{location}(nselect:0) 	 	 {Earth, earth}(nselect:0)
{location}(nselect:0) 	 	 {line}(nselect:0)
{location}(nselect:0) 	 	 {point}(nselect:4)
{point}(nselect:4) 	 	 {punctum}(nselect:0)
