root(nselect:0) 	 	 Verbo(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {female, female person}(nselect:0)
{female, female person}(nselect:0) 	 	 {female offspring}(nselect:0)
{female offspring}(nselect:0) 	 	 {daughter, girl}(nselect:1)
{daughter, girl}(nselect:1) 	 	 {mother's daughter}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {male, male person}(nselect:0)
{male, male person}(nselect:0) 	 	 {male offspring, man-child}(nselect:0)
{male offspring, man-child}(nselect:0) 	 	 {son, boy}(nselect:1)
{son, boy}(nselect:1) 	 	 {Junior, Jr, Jnr}(nselect:0)
{son, boy}(nselect:1) 	 	 {mother's boy, mamma's boy, mama's boy}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {communicator}(nselect:0)
{communicator}(nselect:0) 	 	 {negotiator, negotiant, treater}(nselect:0)
{negotiator, negotiant, treater}(nselect:0) 	 	 {representative}(nselect:0)
{representative}(nselect:0) 	 	 {agent}(nselect:0)
{agent}(nselect:0) 	 	 {business agent}(nselect:0)
{agent}(nselect:0) 	 	 {literary agent}(nselect:0)
{agent}(nselect:0) 	 	 {bailee}(nselect:0)
{agent}(nselect:0) 	 	 {booker, booking agent}(nselect:0)
{agent}(nselect:0) 	 	 {deputy, surrogate}(nselect:0)
{agent}(nselect:0) 	 	 {employment agent}(nselect:0)
{agent}(nselect:0) 	 	 {freight agent}(nselect:0)
{agent}(nselect:0) 	 	 {government agent}(nselect:0)
{agent}(nselect:0) 	 	 {handler}(nselect:0)
{agent}(nselect:0) 	 	 {mill agent}(nselect:0)
{agent}(nselect:0) 	 	 {next friend}(nselect:0)
{agent}(nselect:0) 	 	 {parliamentary agent}(nselect:0)
{agent}(nselect:0) 	 	 {purchasing agent}(nselect:0)
{agent}(nselect:0) 	 	 {secret agent, intelligence officer, intelligence agent, operative}(nselect:0)
{agent}(nselect:0) 	 	 {shipping agent}(nselect:0)
{agent}(nselect:0) 	 	 {shopper}(nselect:0)
{agent}(nselect:0) 	 	 {special agent}(nselect:0)
{agent}(nselect:0) 	 	 {talent agent}(nselect:0)
{agent}(nselect:0) 	 	 {universal agent, general agent}(nselect:0)
{agent}(nselect:0) 	 	 {proxy, placeholder, procurator}(nselect:7)
{representative}(nselect:0) 	 	 {head of state, chief of state}(nselect:0)
{head of state, chief of state}(nselect:0) 	 	 {chancellor, premier, prime minister}(nselect:0)
{head of state, chief of state}(nselect:0) 	 	 {Prime Minister, PM, premier}(nselect:0)
{head of state, chief of state}(nselect:0) 	 	 {President of the United States, United States President, President, Chief Executive}(nselect:1)
{head of state, chief of state}(nselect:0) 	 	 {sovereign, crowned head, monarch}(nselect:0)
{head of state, chief of state}(nselect:0) 	 	 {president}(nselect:27)
{president}(nselect:27) 	 	 {ex-president}(nselect:0)
{communicator}(nselect:0) 	 	 {alarmist}(nselect:0)
{communicator}(nselect:0) 	 	 {allegorizer, allegoriser}(nselect:0)
{communicator}(nselect:0) 	 	 {announcer}(nselect:0)
{communicator}(nselect:0) 	 	 {articulator}(nselect:0)
