root(nselect:0) 	 	 Verbo(nselect:0)
{two, 2, II, deuce}(nselect:0) 	 	 {craps, snake eyes}(nselect:0)
{two, 2, II, deuce}(nselect:0) 	 	 {couple, pair, twosome, twain, brace, span, yoke, couplet, distich, duo, duet, dyad, duad}(nselect:5)
{couple, pair, twosome, twain, brace, span, yoke, couplet, distich, duo, duet, dyad, duad}(nselect:5) 	 	 {doubleton}(nselect:0)
{abstraction, abstract entity}(nselect:0) 	 	 {attribute}(nselect:0)
{attribute}(nselect:0) 	 	 {property}(nselect:0)
{property}(nselect:0) 	 	 {physical property}(nselect:0)
{physical property}(nselect:0) 	 	 {absorptivity, absorption factor}(nselect:0)
{physical property}(nselect:0) 	 	 {dissolubility, solubleness}(nselect:0)
{physical property}(nselect:0) 	 	 {drippiness}(nselect:0)
{physical property}(nselect:0) 	 	 {reflection, reflexion, reflectivity}(nselect:0)
{physical property}(nselect:0) 	 	 {deflection, deflexion, bending}(nselect:0)
{physical property}(nselect:0) 	 	 {temperature}(nselect:0)
{physical property}(nselect:0) 	 	 {heat content, total heat, enthalpy, H}(nselect:0)
{physical property}(nselect:0) 	 	 {randomness, entropy, S}(nselect:0)
{physical property}(nselect:0) 	 	 {perceptibility}(nselect:0)
{physical property}(nselect:0) 	 	 {invisibility, invisibleness}(nselect:0)
{physical property}(nselect:0) 	 	 {luminosity, brightness, brightness level, luminance, luminousness, light}(nselect:0)
{physical property}(nselect:0) 	 	 {inaudibility, inaudibleness}(nselect:0)
{physical property}(nselect:0) 	 	 {imperceptibility}(nselect:0)
{physical property}(nselect:0) 	 	 {reluctivity}(nselect:0)
{physical property}(nselect:0) 	 	 {sensitivity, sensitiveness}(nselect:0)
{physical property}(nselect:0) 	 	 {magnetization, magnetisation}(nselect:0)
{physical property}(nselect:0) 	 	 {elasticity, snap}(nselect:0)
{physical property}(nselect:0) 	 	 {malleability, plasticity}(nselect:0)
{physical property}(nselect:0) 	 	 {inelasticity}(nselect:0)
