Verbo(nselect:0) 	 	 {act, move}(nselect:0)
{elaborate, lucubrate, expatiate, exposit, enlarge, flesh out, expand, expound, dilate}(nselect:0) 	 	 {exemplify, illustrate, instance}(nselect:0)
{elaborate, lucubrate, expatiate, exposit, enlarge, flesh out, expand, expound, dilate}(nselect:0) 	 	 {specify, particularize, particularise, specialize, specialise}(nselect:1)
{specify, particularize, particularise, specialize, specialise}(nselect:1) 	 	 {spell out}(nselect:0)
{explain, explicate}(nselect:1) 	 	 {rede, interpret}(nselect:0)
{explain, explicate}(nselect:1) 	 	 {account for}(nselect:0)
{explain, explicate}(nselect:1) 	 	 {naturalize}(nselect:0)
{explain, explicate}(nselect:1) 	 	 {comment}(nselect:0)
{inform}(nselect:0) 	 	 {wise up}(nselect:0)
{inform}(nselect:0) 	 	 {teach, learn, instruct}(nselect:0)
{teach, learn, instruct}(nselect:0) 	 	 {train, develop, prepare, educate}(nselect:0)
{teach, learn, instruct}(nselect:0) 	 	 {indoctrinate}(nselect:0)
{teach, learn, instruct}(nselect:0) 	 	 {drill}(nselect:0)
{teach, learn, instruct}(nselect:0) 	 	 {catechize, catechise}(nselect:0)
{teach, learn, instruct}(nselect:0) 	 	 {reinforce, reward}(nselect:0)
{teach, learn, instruct}(nselect:0) 	 	 {spoonfeed}(nselect:0)
{teach, learn, instruct}(nselect:0) 	 	 {induct}(nselect:0)
{teach, learn, instruct}(nselect:0) 	 	 {mentor}(nselect:0)
{teach, learn, instruct}(nselect:0) 	 	 {tutor}(nselect:0)
{teach, learn, instruct}(nselect:0) 	 	 {unteach}(nselect:0)
{teach, learn, instruct}(nselect:0) 	 	 {unteach}(nselect:0)
{teach, learn, instruct}(nselect:0) 	 	 {ground}(nselect:0)
{teach, learn, instruct}(nselect:0) 	 	 {lecture, talk}(nselect:0)
{teach, learn, instruct}(nselect:0) 	 	 {enlighten, edify}(nselect:0)
{teach, learn, instruct}(nselect:0) 	 	 {condition}(nselect:0)
{teach, learn, instruct}(nselect:0) 	 	 {coach, train}(nselect:2)
{inform}(nselect:0) 	 	 {instruct, apprise, apprize}(nselect:0)
{inform}(nselect:0) 	 	 {inoculate}(nselect:0)
{inform}(nselect:0) 	 	 {acquaint}(nselect:0)
{inform}(nselect:0) 	 	 {warn}(nselect:0)
{inform}(nselect:0) 	 	 {inform}(nselect:0)
{inform}(nselect:0) 	 	 {fill in}(nselect:0)
{inform}(nselect:0) 	 	 {update}(nselect:0)
{inform}(nselect:0) 	 	 {misinform, mislead}(nselect:0)
{inform}(nselect:0) 	 	 {understate, minimize, minimise, downplay}(nselect:0)
