Verbo(nselect:0) 	 	 {act, move}(nselect:0)
{travel, go, move, locomote}(nselect:4) 	 	 {snowshoe}(nselect:0)
{travel, go, move, locomote}(nselect:4) 	 	 {beetle}(nselect:0)
{travel, go, move, locomote}(nselect:4) 	 	 {return}(nselect:8)
{return}(nselect:8) 	 	 {resurrect, rise, uprise}(nselect:0)
{return}(nselect:8) 	 	 {revisit}(nselect:0)
{return}(nselect:8) 	 	 {trace, retrace}(nselect:0)
{return}(nselect:8) 	 	 {backtrack, turn back, double back}(nselect:0)
{return}(nselect:8) 	 	 {cut back, flash back}(nselect:0)
{return}(nselect:8) 	 	 {home}(nselect:0)
{return}(nselect:8) 	 	 {go home, head home}(nselect:0)
{return}(nselect:8) 	 	 {return}(nselect:0)
{return}(nselect:8) 	 	 {boomerang}(nselect:0)
{return}(nselect:8) 	 	 {bounce}(nselect:0)
Verbo(nselect:0) 	 	 {move, displace}(nselect:0)
{move, displace}(nselect:0) 	 	 {transfer}(nselect:0)
{transfer}(nselect:0) 	 	 {commit, institutionalize, institutionalise, send, charge}(nselect:0)
{commit, institutionalize, institutionalise, send, charge}(nselect:0) 	 	 {hospitalize, hospitalise}(nselect:5)
{transfer}(nselect:0) 	 	 {convey, transmit, communicate}(nselect:0)
{convey, transmit, communicate}(nselect:0) 	 	 {communicate, pass on, pass, pass along, put across}(nselect:0)
{communicate, pass on, pass, pass along, put across}(nselect:0) 	 	 {request, bespeak, call for, quest}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {order}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {encore}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {petition}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {demand}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {appeal, invoke}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {supplicate}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {apply}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {solicit, beg, tap}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {reserve}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {challenge}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {excuse, beg off}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {demand}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {claim}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {invite, call for}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {invite, ask in}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {desire}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {beg}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {claim, lay claim, arrogate}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {invite, ask over, ask round}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {call}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {ask out, invite out, take out}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {reserve, hold, book}(nselect:0)
{request, bespeak, call for, quest}(nselect:0) 	 	 {ask}(nselect:2)
{ask}(nselect:2) 	 	 {request}(nselect:0)
{request}(nselect:0) 	 	 {order, tell, enjoin, say}(nselect:0)
{order, tell, enjoin, say}(nselect:0) 	 	 {call, send for}(nselect:0)
{call, send for}(nselect:0) 	 	 {beep}(nselect:0)
{call, send for}(nselect:0) 	 	 {recall, call back}(nselect:0)
{call, send for}(nselect:0) 	 	 {call in}(nselect:0)
{call, send for}(nselect:0) 	 	 {lift}(nselect:0)
{call, send for}(nselect:0) 	 	 {muster}(nselect:0)
{call, send for}(nselect:0) 	 	 {hail}(nselect:0)
{call, send for}(nselect:0) 	 	 {summon}(nselect:0)
{call, send for}(nselect:0) 	 	 {call up, mobilize, mobilise, rally}(nselect:0)
{call, send for}(nselect:0) 	 	 {summon, summons, cite}(nselect:1)
{summon, summons, cite}(nselect:1) 	 	 {vouch}(nselect:0)
{summon, summons, cite}(nselect:1) 	 	 {demand}(nselect:0)
{order, tell, enjoin, say}(nselect:0) 	 	 {direct}(nselect:0)
{order, tell, enjoin, say}(nselect:0) 	 	 {command, require}(nselect:0)
{order, tell, enjoin, say}(nselect:0) 	 	 {warn}(nselect:0)
{order, tell, enjoin, say}(nselect:0) 	 	 {instruct}(nselect:2)
{instruct}(nselect:2) 	 	 {charge}(nselect:0)
{instruct}(nselect:2) 	 	 {charge}(nselect:0)
{ask}(nselect:2) 	 	 {solicit}(nselect:0)
{move, displace}(nselect:0) 	 	 {transport, carry}(nselect:0)
{transport, carry}(nselect:0) 	 	 {shoulder}(nselect:0)
{transport, carry}(nselect:0) 	 	 {port}(nselect:0)
{transport, carry}(nselect:0) 	 	 {bear}(nselect:0)
{transport, carry}(nselect:0) 	 	 {bucket}(nselect:0)
{transport, carry}(nselect:0) 	 	 {return}(nselect:0)
{transport, carry}(nselect:0) 	 	 {pipe in}(nselect:0)
{transport, carry}(nselect:0) 	 	 {port}(nselect:0)
{transport, carry}(nselect:0) 	 	 {porter}(nselect:0)
{transport, carry}(nselect:0) 	 	 {pack}(nselect:0)
{transport, carry}(nselect:0) 	 	 {cart}(nselect:0)
{transport, carry}(nselect:0) 	 	 {fly}(nselect:0)
{transport, carry}(nselect:0) 	 	 {haul}(nselect:0)
{transport, carry}(nselect:0) 	 	 {lug, tote, tug}(nselect:0)
{transport, carry}(nselect:0) 	 	 {chariot}(nselect:0)
{transport, carry}(nselect:0) 	 	 {bring, convey, take}(nselect:3)
{bring, convey, take}(nselect:3) 	 	 {fetch}(nselect:0)
{bring, convey, take}(nselect:3) 	 	 {transit}(nselect:0)
{bring, convey, take}(nselect:3) 	 	 {ferry}(nselect:0)
{bring, convey, take}(nselect:3) 	 	 {return, take back, bring back}(nselect:0)
{bring, convey, take}(nselect:3) 	 	 {tube}(nselect:0)
{bring, convey, take}(nselect:3) 	 	 {whisk}(nselect:0)
{bring, convey, take}(nselect:3) 	 	 {impart, conduct, transmit, convey, carry, channel}(nselect:0)
{bring, convey, take}(nselect:3) 	 	 {land}(nselect:0)
{move, displace}(nselect:0) 	 	 {mobilize, mobilise, circulate}(nselect:0)
{move, displace}(nselect:0) 	 	 {relocate}(nselect:0)
{move, displace}(nselect:0) 	 	 {dislocate, luxate, splay, slip}(nselect:0)
{move, displace}(nselect:0) 	 	 {translate}(nselect:0)
{move, displace}(nselect:0) 	 	 {station, post, send, place}(nselect:0)
{move, displace}(nselect:0) 	 	 {agitate, vex, disturb, commove, shake up, stir up, raise up}(nselect:0)
{move, displace}(nselect:0) 	 	 {transmit, transfer, transport, channel, channelize, channelise}(nselect:0)
{move, displace}(nselect:0) 	 	 {funnel}(nselect:0)
{move, displace}(nselect:0) 	 	 {brandish, flourish, wave}(nselect:0)
{move, displace}(nselect:0) 	 	 {pull, draw, force}(nselect:0)
{move, displace}(nselect:0) 	 	 {tug}(nselect:0)
{move, displace}(nselect:0) 	 	 {disarrange}(nselect:0)
{move, displace}(nselect:0) 	 	 {put, set, place, pose, position, lay}(nselect:7)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {position}(nselect:0)
{position}(nselect:0) 	 	 {aim, take, train, take aim, direct}(nselect:0)
{aim, take, train, take aim, direct}(nselect:0) 	 	 {draw a bead on}(nselect:0)
{aim, take, train, take aim, direct}(nselect:0) 	 	 {hold}(nselect:0)
{aim, take, train, take aim, direct}(nselect:0) 	 	 {turn}(nselect:0)
{aim, take, train, take aim, direct}(nselect:0) 	 	 {swing}(nselect:0)
{aim, take, train, take aim, direct}(nselect:0) 	 	 {charge, level, point}(nselect:0)
{aim, take, train, take aim, direct}(nselect:0) 	 	 {level}(nselect:0)
{aim, take, train, take aim, direct}(nselect:0) 	 	 {sight}(nselect:0)
{aim, take, train, take aim, direct}(nselect:0) 	 	 {target, aim, place, direct, point}(nselect:1)
{target, aim, place, direct, point}(nselect:1) 	 	 {address}(nselect:0)
{target, aim, place, direct, point}(nselect:1) 	 	 {range in, home in, zero in}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {insert, enclose, inclose, stick in, put in, introduce}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {docket}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {cock}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {postpose}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {prepose}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {step}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {replace, put back}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {stratify}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {plant}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {intersperse}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {nestle, snuggle}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {pile}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {arrange, set up}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {superimpose, superpose, lay over}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {superpose}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {park}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {ensconce, settle}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {dispose}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {emplace}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {emplace}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {ship}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {underlay}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {trench}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {pigeonhole}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {shelve}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {jar}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {repose}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {sign}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {middle}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {parallelize}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {butt}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {recess}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {reposition}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {throw, thrust}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {tee, tee up}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {rack up}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {coffin}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {bed}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {appose}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {set down, put down, place down}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {sow, seed}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {misplace}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {juxtapose}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {set down}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {bottle}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {bucket}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {barrel}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {ground}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {pillow, rest}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {misplace, mislay, lose}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {upend}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {seat, sit, sit down}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {seat}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {lay, put down, repose}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {stand, stand up, place upright}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {recline}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {plant, set}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {install, instal, put in, set up}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {situate, fix, posit, deposit}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {ladle}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {poise}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {lean}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {clap}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {rest}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {perch}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {load}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {cram}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {set}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {siphon}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {seat}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {glycerolize, glycerolise}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {space}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {marshal}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {settle, settle down}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {throw}(nselect:0)
{put, set, place, pose, position, lay}(nselect:7) 	 	 {imbricate}(nselect:0)
{move, displace}(nselect:0) 	 	 {engage, mesh, lock, operate}(nselect:0)
{move, displace}(nselect:0) 	 	 {propel, impel}(nselect:0)
{propel, impel}(nselect:0) 	 	 {flip}(nselect:0)
{propel, impel}(nselect:0) 	 	 {rocket}(nselect:0)
{propel, impel}(nselect:0) 	 	 {carry}(nselect:0)
{propel, impel}(nselect:0) 	 	 {punt, pole}(nselect:0)
{propel, impel}(nselect:0) 	 	 {hit}(nselect:2)
{hit}(nselect:2) 	 	 {play}(nselect:0)
{hit}(nselect:2) 	 	 {foul}(nselect:0)
{hit}(nselect:2) 	 	 {cannon}(nselect:0)
{hit}(nselect:2) 	 	 {clap}(nselect:0)
{hit}(nselect:2) 	 	 {ground out}(nselect:0)
{hit}(nselect:2) 	 	 {toe}(nselect:0)
{hit}(nselect:2) 	 	 {shank}(nselect:0)
{hit}(nselect:2) 	 	 {pitch}(nselect:0)
{hit}(nselect:2) 	 	 {fly}(nselect:0)
{hit}(nselect:2) 	 	 {snap}(nselect:0)
{hit}(nselect:2) 	 	 {whang}(nselect:0)
{hit}(nselect:2) 	 	 {undercut}(nselect:0)
{hit}(nselect:2) 	 	 {putt}(nselect:0)
{hit}(nselect:2) 	 	 {heel}(nselect:0)
{hit}(nselect:2) 	 	 {toe}(nselect:0)
{hit}(nselect:2) 	 	 {bunker}(nselect:0)
{hit}(nselect:2) 	 	 {bounce}(nselect:0)
{hit}(nselect:2) 	 	 {backhand}(nselect:0)
{hit}(nselect:2) 	 	 {pop}(nselect:0)
{hit}(nselect:2) 	 	 {follow through}(nselect:0)
{hit}(nselect:2) 	 	 {shell}(nselect:0)
{hit}(nselect:2) 	 	 {ground}(nselect:0)
{hit}(nselect:2) 	 	 {ground}(nselect:0)
{hit}(nselect:2) 	 	 {top}(nselect:0)
{hit}(nselect:2) 	 	 {pull}(nselect:0)
{hit}(nselect:2) 	 	 {kill}(nselect:0)
{hit}(nselect:2) 	 	 {kill}(nselect:0)
{hit}(nselect:2) 	 	 {connect}(nselect:0)
{hit}(nselect:2) 	 	 {drive}(nselect:0)
{hit}(nselect:2) 	 	 {drive}(nselect:0)
{hit}(nselect:2) 	 	 {hole, hole out}(nselect:0)
{hit}(nselect:2) 	 	 {bunt, drag a bunt}(nselect:0)
{hit}(nselect:2) 	 	 {snick}(nselect:0)
{hit}(nselect:2) 	 	 {racket}(nselect:0)
{hit}(nselect:2) 	 	 {dribble, carry}(nselect:8)
{hit}(nselect:2) 	 	 {slice}(nselect:0)
{hit}(nselect:2) 	 	 {hook}(nselect:0)
{hit}(nselect:2) 	 	 {single}(nselect:0)
{hit}(nselect:2) 	 	 {double}(nselect:0)
{hit}(nselect:2) 	 	 {triple}(nselect:0)
{hit}(nselect:2) 	 	 {smash}(nselect:0)
{hit}(nselect:2) 	 	 {volley}(nselect:0)
{hit}(nselect:2) 	 	 {croquet}(nselect:0)
{hit}(nselect:2) 	 	 {loft}(nselect:0)
{hit}(nselect:2) 	 	 {shoot}(nselect:2)
{shoot}(nselect:2) 	 	 {dunk}(nselect:0)
{shoot}(nselect:2) 	 	 {break}(nselect:0)
{shoot}(nselect:2) 	 	 {chip}(nselect:0)
{shoot}(nselect:2) 	 	 {carom}(nselect:0)
{shoot}(nselect:2) 	 	 {birdie}(nselect:0)
{shoot}(nselect:2) 	 	 {eagle, double birdie}(nselect:0)
{shoot}(nselect:2) 	 	 {double bogey}(nselect:0)
{shoot}(nselect:2) 	 	 {bogey}(nselect:0)
{shoot}(nselect:2) 	 	 {knuckle}(nselect:0)
{propel, impel}(nselect:0) 	 	 {throw}(nselect:0)
{throw}(nselect:0) 	 	 {slam, flap down}(nselect:0)
{throw}(nselect:0) 	 	 {ground}(nselect:0)
{throw}(nselect:0) 	 	 {prostrate}(nselect:0)
{throw}(nselect:0) 	 	 {hurl, hurtle, cast}(nselect:0)
{throw}(nselect:0) 	 	 {heave}(nselect:0)
{throw}(nselect:0) 	 	 {pelt, bombard}(nselect:0)
{throw}(nselect:0) 	 	 {defenestrate}(nselect:0)
{throw}(nselect:0) 	 	 {deliver, pitch}(nselect:0)
{throw}(nselect:0) 	 	 {shy}(nselect:0)
{throw}(nselect:0) 	 	 {drive}(nselect:0)
{throw}(nselect:0) 	 	 {deep-six, throw overboard}(nselect:0)
{throw}(nselect:0) 	 	 {ridge}(nselect:0)
{throw}(nselect:0) 	 	 {jettison}(nselect:0)
{throw}(nselect:0) 	 	 {fling}(nselect:0)
{throw}(nselect:0) 	 	 {lob}(nselect:0)
{throw}(nselect:0) 	 	 {chuck, toss}(nselect:0)
{throw}(nselect:0) 	 	 {skim, skip, skitter}(nselect:0)
{throw}(nselect:0) 	 	 {juggle}(nselect:0)
{throw}(nselect:0) 	 	 {flip, flick}(nselect:0)
{throw}(nselect:0) 	 	 {pass}(nselect:22)
{propel, impel}(nselect:0) 	 	 {drive}(nselect:0)
{propel, impel}(nselect:0) 	 	 {launch}(nselect:0)
{propel, impel}(nselect:0) 	 	 {catapult}(nselect:0)
{propel, impel}(nselect:0) 	 	 {project, send off}(nselect:0)
{propel, impel}(nselect:0) 	 	 {loft}(nselect:0)
{propel, impel}(nselect:0) 	 	 {kick}(nselect:23)
{kick}(nselect:23) 	 	 {drop-kick, dropkick}(nselect:0)
{kick}(nselect:23) 	 	 {place-kick}(nselect:0)
{kick}(nselect:23) 	 	 {dropkick, drop-kick}(nselect:0)
{kick}(nselect:23) 	 	 {punt}(nselect:0)
{move, displace}(nselect:0) 	 	 {launch, set in motion}(nselect:0)
{move, displace}(nselect:0) 	 	 {wind, wrap, roll, twine}(nselect:0)
{move, displace}(nselect:0) 	 	 {unwind, wind off, unroll}(nselect:0)
{move, displace}(nselect:0) 	 	 {wedge, squeeze, force}(nselect:0)
{move, displace}(nselect:0) 	 	 {work}(nselect:0)
{move, displace}(nselect:0) 	 	 {spill, shed, disgorge}(nselect:0)
{move, displace}(nselect:0) 	 	 {spill, slop, splatter}(nselect:0)
{move, displace}(nselect:0) 	 	 {unseat}(nselect:0)
{move, displace}(nselect:0) 	 	 {separate, disunite, divide, part}(nselect:0)
{move, displace}(nselect:0) 	 	 {uproot, extirpate, deracinate, root out}(nselect:0)
{move, displace}(nselect:0) 	 	 {press down, depress}(nselect:0)
{move, displace}(nselect:0) 	 	 {lift}(nselect:0)
{move, displace}(nselect:0) 	 	 {flick, ruffle, riffle}(nselect:0)
{move, displace}(nselect:0) 	 	 {work}(nselect:0)
{move, displace}(nselect:0) 	 	 {take back}(nselect:0)
{move, displace}(nselect:0) 	 	 {center, centre}(nselect:0)
{move, displace}(nselect:0) 	 	 {pump}(nselect:0)
{move, displace}(nselect:0) 	 	 {scan}(nselect:0)
{move, displace}(nselect:0) 	 	 {jar, shake up, bump around}(nselect:0)
{move, displace}(nselect:0) 	 	 {dandle}(nselect:0)
{move, displace}(nselect:0) 	 	 {roll, revolve}(nselect:0)
{move, displace}(nselect:0) 	 	 {push, force}(nselect:0)
{move, displace}(nselect:0) 	 	 {rock, sway}(nselect:0)
{move, displace}(nselect:0) 	 	 {fluctuate}(nselect:0)
{move, displace}(nselect:0) 	 	 {pulse}(nselect:0)
{move, displace}(nselect:0) 	 	 {shift, dislodge, reposition}(nselect:0)
{move, displace}(nselect:0) 	 	 {glide}(nselect:0)
{move, displace}(nselect:0) 	 	 {stir}(nselect:0)
{move, displace}(nselect:0) 	 	 {play}(nselect:0)
{move, displace}(nselect:0) 	 	 {overturn, tip over, turn over, upset, knock over, bowl over, tump over}(nselect:0)
{move, displace}(nselect:0) 	 	 {transport, send, ship}(nselect:0)
{move, displace}(nselect:0) 	 	 {transport}(nselect:0)
{move, displace}(nselect:0) 	 	 {saltate}(nselect:0)
{move, displace}(nselect:0) 	 	 {lower, take down, let down, get down, bring down}(nselect:0)
{move, displace}(nselect:0) 	 	 {lift, raise}(nselect:0)
{move, displace}(nselect:0) 	 	 {raise, lift, elevate, get up, bring up}(nselect:0)
{move, displace}(nselect:0) 	 	 {drop}(nselect:0)
{move, displace}(nselect:0) 	 	 {sink}(nselect:0)
{move, displace}(nselect:0) 	 	 {advance, bring forward}(nselect:0)
{move, displace}(nselect:0) 	 	 {chase away, drive out, turn back, drive away, dispel, drive off, run off}(nselect:0)
{move, displace}(nselect:0) 	 	 {transfer, shift}(nselect:0)
{move, displace}(nselect:0) 	 	 {displace}(nselect:0)
{move, displace}(nselect:0) 	 	 {herd, crowd}(nselect:0)
{move, displace}(nselect:0) 	 	 {circulate}(nselect:0)
{move, displace}(nselect:0) 	 	 {circulate, pass around, pass on, distribute}(nselect:0)
{move, displace}(nselect:0) 	 	 {rout out, drive out, force out, rouse}(nselect:0)
{move, displace}(nselect:0) 	 	 {drive}(nselect:0)
{move, displace}(nselect:0) 	 	 {race, rush}(nselect:0)
{move, displace}(nselect:0) 	 	 {woosh, whoosh}(nselect:0)
{move, displace}(nselect:0) 	 	 {pour}(nselect:0)
{move, displace}(nselect:0) 	 	 {slip}(nselect:0)
{move, displace}(nselect:0) 	 	 {exteriorize, bring outside}(nselect:0)
{move, displace}(nselect:0) 	 	 {upstage}(nselect:0)
{move, displace}(nselect:0) 	 	 {swing}(nselect:0)
{move, displace}(nselect:0) 	 	 {turn, turn over}(nselect:0)
{move, displace}(nselect:0) 	 	 {turn}(nselect:0)
{move, displace}(nselect:0) 	 	 {turn}(nselect:0)
{move, displace}(nselect:0) 	 	 {slide}(nselect:0)
{move, displace}(nselect:0) 	 	 {run}(nselect:0)
{move, displace}(nselect:0) 	 	 {whistle}(nselect:0)
{move, displace}(nselect:0) 	 	 {beat, flap}(nselect:0)
{move, displace}(nselect:0) 	 	 {singsong}(nselect:0)
{move, displace}(nselect:0) 	 	 {hustle}(nselect:0)
{move, displace}(nselect:0) 	 	 {wash}(nselect:0)
{move, displace}(nselect:0) 	 	 {rake}(nselect:0)
{move, displace}(nselect:0) 	 	 {blow}(nselect:0)
{move, displace}(nselect:0) 	 	 {drag}(nselect:0)
{move, displace}(nselect:0) 	 	 {pull, draw}(nselect:0)
{move, displace}(nselect:0) 	 	 {lateralize}(nselect:0)
{move, displace}(nselect:0) 	 	 {translate}(nselect:0)
{move, displace}(nselect:0) 	 	 {hit, strike}(nselect:0)
{move, displace}(nselect:0) 	 	 {sling}(nselect:0)
{move, displace}(nselect:0) 	 	 {change hands, change owners}(nselect:0)
{move, displace}(nselect:0) 	 	 {expel, throw out, kick out}(nselect:0)
{move, displace}(nselect:0) 	 	 {send, direct}(nselect:2)
{send, direct}(nselect:2) 	 	 {project, cast, contrive, throw}(nselect:0)
{send, direct}(nselect:2) 	 	 {turn}(nselect:0)
{send, direct}(nselect:2) 	 	 {turn}(nselect:0)
{send, direct}(nselect:2) 	 	 {divert}(nselect:0)
{send, direct}(nselect:2) 	 	 {route}(nselect:0)
{send, direct}(nselect:2) 	 	 {refer}(nselect:0)
{send, direct}(nselect:2) 	 	 {redirect, airt}(nselect:0)
{send, direct}(nselect:2) 	 	 {blow}(nselect:0)
Verbo(nselect:0) 	 	 {happen, hap, go on, pass off, occur, pass, fall out, come about, take place}(nselect:12)
{happen, hap, go on, pass off, occur, pass, fall out, come about, take place}(nselect:12) 	 	 {break, recrudesce, develop}(nselect:0)
{happen, hap, go on, pass off, occur, pass, fall out, come about, take place}(nselect:12) 	 	 {arise, come up}(nselect:0)
{happen, hap, go on, pass off, occur, pass, fall out, come about, take place}(nselect:12) 	 	 {result}(nselect:0)
{happen, hap, go on, pass off, occur, pass, fall out, come about, take place}(nselect:12) 	 	 {intervene}(nselect:0)
{happen, hap, go on, pass off, occur, pass, fall out, come about, take place}(nselect:12) 	 	 {transpire}(nselect:0)
{happen, hap, go on, pass off, occur, pass, fall out, come about, take place}(nselect:12) 	 	 {give}(nselect:0)
{happen, hap, go on, pass off, occur, pass, fall out, come about, take place}(nselect:12) 	 	 {operate}(nselect:0)
{happen, hap, go on, pass off, occur, pass, fall out, come about, take place}(nselect:12) 	 	 {supervene}(nselect:0)
{happen, hap, go on, pass off, occur, pass, fall out, come about, take place}(nselect:12) 	 	 {proceed, go}(nselect:0)
{happen, hap, go on, pass off, occur, pass, fall out, come about, take place}(nselect:12) 	 	 {come}(nselect:0)
{happen, hap, go on, pass off, occur, pass, fall out, come about, take place}(nselect:12) 	 	 {fall}(nselect:0)
{happen, hap, go on, pass off, occur, pass, fall out, come about, take place}(nselect:12) 	 	 {anticipate}(nselect:0)
{happen, hap, go on, pass off, occur, pass, fall out, come about, take place}(nselect:12) 	 	 {develop}(nselect:0)
{happen, hap, go on, pass off, occur, pass, fall out, come about, take place}(nselect:12) 	 	 {recur, repeat}(nselect:0)
{happen, hap, go on, pass off, occur, pass, fall out, come about, take place}(nselect:12) 	 	 {go off, come off, go over}(nselect:0)
{happen, hap, go on, pass off, occur, pass, fall out, come about, take place}(nselect:12) 	 	 {come around, roll around}(nselect:0)
{happen, hap, go on, pass off, occur, pass, fall out, come about, take place}(nselect:12) 	 	 {happen, materialize, materialise}(nselect:0)
{happen, hap, go on, pass off, occur, pass, fall out, come about, take place}(nselect:12) 	 	 {happen, befall, bechance}(nselect:0)
{happen, hap, go on, pass off, occur, pass, fall out, come about, take place}(nselect:12) 	 	 {befall, bechance, betide}(nselect:0)
{happen, hap, go on, pass off, occur, pass, fall out, come about, take place}(nselect:12) 	 	 {concur, coincide}(nselect:0)
