Verbo(nselect:0) 	 	 {record, register}(nselect:4)
{be}(nselect:9) 	 	 {wash}(nselect:0)
{be}(nselect:9) 	 	 {balance}(nselect:0)
{be}(nselect:9) 	 	 {hail, come}(nselect:0)
{be}(nselect:9) 	 	 {act}(nselect:0)
{be}(nselect:9) 	 	 {test}(nselect:0)
{be}(nselect:9) 	 	 {seem}(nselect:0)
{be}(nselect:9) 	 	 {answer}(nselect:0)
{be}(nselect:9) 	 	 {beat}(nselect:0)
{be}(nselect:9) 	 	 {hold}(nselect:0)
{be}(nselect:9) 	 	 {count}(nselect:0)
{be}(nselect:9) 	 	 {contain}(nselect:0)
{be}(nselect:9) 	 	 {connect}(nselect:0)
{be}(nselect:9) 	 	 {sell}(nselect:0)
{be}(nselect:9) 	 	 {sell}(nselect:0)
{be}(nselect:9) 	 	 {kill}(nselect:0)
{be}(nselect:9) 	 	 {make}(nselect:0)
{be}(nselect:9) 	 	 {deck, adorn, decorate, grace, embellish, beautify}(nselect:0)
{be}(nselect:9) 	 	 {consist}(nselect:0)
{be}(nselect:9) 	 	 {work}(nselect:0)
{be}(nselect:9) 	 	 {lubricate}(nselect:0)
{be}(nselect:9) 	 	 {breathe}(nselect:0)
{be}(nselect:9) 	 	 {trim}(nselect:0)
{be}(nselect:9) 	 	 {swing}(nselect:0)
{be}(nselect:9) 	 	 {osculate}(nselect:0)
{be}(nselect:9) 	 	 {retard}(nselect:0)
{be}(nselect:9) 	 	 {transplant}(nselect:0)
{be}(nselect:9) 	 	 {cohere}(nselect:0)
{be}(nselect:9) 	 	 {object}(nselect:0)
{be}(nselect:9) 	 	 {stick}(nselect:0)
{be}(nselect:9) 	 	 {recognize}(nselect:0)
{be}(nselect:9) 	 	 {distribute}(nselect:0)
{be}(nselect:9) 	 	 {put out}(nselect:0)
{be}(nselect:9) 	 	 {bake, broil}(nselect:0)
{be}(nselect:9) 	 	 {swim, drown}(nselect:0)
{be}(nselect:9) 	 	 {swim}(nselect:0)
{be}(nselect:9) 	 	 {belong}(nselect:0)
Verbo(nselect:0) 	 	 {think, cogitate, cerebrate}(nselect:0)
{think, cogitate, cerebrate}(nselect:0) 	 	 {evaluate, pass judgment, judge}(nselect:0)
{evaluate, pass judgment, judge}(nselect:0) 	 	 {rate, rank, range, order, grade, place}(nselect:0)
{evaluate, pass judgment, judge}(nselect:0) 	 	 {stand}(nselect:0)
{evaluate, pass judgment, judge}(nselect:0) 	 	 {approve}(nselect:0)
{evaluate, pass judgment, judge}(nselect:0) 	 	 {disapprove}(nselect:0)
{evaluate, pass judgment, judge}(nselect:0) 	 	 {choose}(nselect:0)
{evaluate, pass judgment, judge}(nselect:0) 	 	 {prejudge}(nselect:0)
{evaluate, pass judgment, judge}(nselect:0) 	 	 {measure, evaluate, valuate, assess, appraise, value}(nselect:0)
{evaluate, pass judgment, judge}(nselect:0) 	 	 {reappraise}(nselect:0)
{evaluate, pass judgment, judge}(nselect:0) 	 	 {reject}(nselect:0)
{evaluate, pass judgment, judge}(nselect:0) 	 	 {accept}(nselect:0)
{evaluate, pass judgment, judge}(nselect:0) 	 	 {think, believe, consider, conceive}(nselect:0)
{evaluate, pass judgment, judge}(nselect:0) 	 	 {expect, anticipate}(nselect:0)
{evaluate, pass judgment, judge}(nselect:0) 	 	 {impute, ascribe, assign, attribute}(nselect:0)
{evaluate, pass judgment, judge}(nselect:0) 	 	 {assign, attribute}(nselect:0)
{evaluate, pass judgment, judge}(nselect:0) 	 	 {disapprove, reject}(nselect:0)
{evaluate, pass judgment, judge}(nselect:0) 	 	 {declare, adjudge, hold}(nselect:0)
{evaluate, pass judgment, judge}(nselect:0) 	 	 {review, critique}(nselect:0)
{evaluate, pass judgment, judge}(nselect:0) 	 	 {fail}(nselect:0)
{evaluate, pass judgment, judge}(nselect:0) 	 	 {pass}(nselect:0)
{evaluate, pass judgment, judge}(nselect:0) 	 	 {test, prove, try, try out, examine, essay}(nselect:0)
{evaluate, pass judgment, judge}(nselect:0) 	 	 {calculate, estimate, reckon, count on, figure, forecast}(nselect:2)
{calculate, estimate, reckon, count on, figure, forecast}(nselect:2) 	 	 {allow, take into account}(nselect:0)
Verbo(nselect:0) 	 	 {act, move}(nselect:0)
{act, move}(nselect:0) 	 	 {interact}(nselect:0)
{interact}(nselect:0) 	 	 {communicate, intercommunicate}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {inform}(nselect:4)
{inform}(nselect:4) 	 	 {indicate, point, designate, show}(nselect:0)
{indicate, point, designate, show}(nselect:0) 	 	 {point}(nselect:0)
{indicate, point, designate, show}(nselect:0) 	 	 {finger}(nselect:0)
{indicate, point, designate, show}(nselect:0) 	 	 {signalize, signalise, point out, call attention}(nselect:0)
{indicate, point, designate, show}(nselect:0) 	 	 {reflect}(nselect:1)
{inform}(nselect:4) 	 	 {wise up}(nselect:0)
{inform}(nselect:4) 	 	 {teach, learn, instruct}(nselect:0)
{inform}(nselect:4) 	 	 {instruct, apprise, apprize}(nselect:0)
{inform}(nselect:4) 	 	 {inoculate}(nselect:0)
{inform}(nselect:4) 	 	 {acquaint}(nselect:0)
{inform}(nselect:4) 	 	 {warn}(nselect:0)
{inform}(nselect:4) 	 	 {inform}(nselect:0)
{inform}(nselect:4) 	 	 {fill in}(nselect:0)
{inform}(nselect:4) 	 	 {update}(nselect:3)
{inform}(nselect:4) 	 	 {misinform, mislead}(nselect:0)
{inform}(nselect:4) 	 	 {understate, minimize, minimise, downplay}(nselect:0)
{inform}(nselect:4) 	 	 {denounce, tell on, betray, give away, rat, grass, shit, shop, snitch, stag}(nselect:0)
{inform}(nselect:4) 	 	 {undeceive}(nselect:0)
{inform}(nselect:4) 	 	 {warn}(nselect:0)
{inform}(nselect:4) 	 	 {advise, notify, give notice, send word, apprise, apprize}(nselect:0)
{inform}(nselect:4) 	 	 {familiarize, familiarise, acquaint}(nselect:0)
{inform}(nselect:4) 	 	 {prompt, remind, cue}(nselect:0)
{inform}(nselect:4) 	 	 {volunteer}(nselect:0)
{inform}(nselect:4) 	 	 {introduce, present, acquaint}(nselect:0)
{inform}(nselect:4) 	 	 {regret}(nselect:0)
{inform}(nselect:4) 	 	 {indicate}(nselect:0)
{inform}(nselect:4) 	 	 {indicate, suggest}(nselect:0)
{inform}(nselect:4) 	 	 {nark}(nselect:0)
{inform}(nselect:4) 	 	 {explain, explicate}(nselect:0)
{inform}(nselect:4) 	 	 {tell}(nselect:0)
{tell}(nselect:0) 	 	 {digress, stray, divagate, wander}(nselect:0)
{tell}(nselect:0) 	 	 {bespeak, betoken, indicate, point, signal}(nselect:0)
{tell}(nselect:0) 	 	 {unwrap, disclose, let on, bring out, reveal, discover, expose, divulge, break, give away, let out}(nselect:0)
{tell}(nselect:0) 	 	 {spill, talk}(nselect:0)
