root(nselect:0) 	 	 Verbo(nselect:0)
{executive, executive director}(nselect:0) 	 	 {rainmaker}(nselect:0)
{executive, executive director}(nselect:0) 	 	 {Surgeon General}(nselect:0)
{executive, executive director}(nselect:0) 	 	 {vice president, V.P.}(nselect:0)
{executive, executive director}(nselect:0) 	 	 {minister, government minister}(nselect:4)
{minister, government minister}(nselect:4) 	 	 {cabinet minister}(nselect:0)
{minister, government minister}(nselect:4) 	 	 {finance minister, minister of finance}(nselect:0)
{minister, government minister}(nselect:4) 	 	 {foreign minister, secretary of state}(nselect:0)
{leader}(nselect:6) 	 	 {spiritual leader}(nselect:0)
{leader}(nselect:6) 	 	 {aristocrat, blue blood, patrician}(nselect:0)
{leader}(nselect:6) 	 	 {bellwether}(nselect:0)
{leader}(nselect:6) 	 	 {caller}(nselect:0)
{leader}(nselect:6) 	 	 {captain, chieftain}(nselect:0)
{leader}(nselect:6) 	 	 {cheerleader}(nselect:0)
{leader}(nselect:6) 	 	 {choragus}(nselect:0)
{leader}(nselect:6) 	 	 {civic leader, civil leader}(nselect:0)
{leader}(nselect:6) 	 	 {commander}(nselect:0)
{leader}(nselect:6) 	 	 {demigod, superman, Ubermensch}(nselect:0)
{leader}(nselect:6) 	 	 {duce}(nselect:0)
{leader}(nselect:6) 	 	 {employer}(nselect:0)
{leader}(nselect:6) 	 	 {father}(nselect:0)
{leader}(nselect:6) 	 	 {boss}(nselect:0)
{leader}(nselect:6) 	 	 {fugleman}(nselect:0)
{leader}(nselect:6) 	 	 {galvanizer, galvaniser, inspirer}(nselect:0)
{leader}(nselect:6) 	 	 {guide}(nselect:0)
{leader}(nselect:6) 	 	 {guru}(nselect:0)
{leader}(nselect:6) 	 	 {headman, tribal chief, chieftain, chief}(nselect:0)
{leader}(nselect:6) 	 	 {imam, imaum}(nselect:0)
{leader}(nselect:6) 	 	 {instigator, initiator}(nselect:0)
{leader}(nselect:6) 	 	 {labor leader}(nselect:0)
{leader}(nselect:6) 	 	 {malik}(nselect:0)
{leader}(nselect:6) 	 	 {military leader}(nselect:0)
{leader}(nselect:6) 	 	 {misleader}(nselect:0)
{leader}(nselect:6) 	 	 {model, role model}(nselect:0)
{leader}(nselect:6) 	 	 {hero}(nselect:0)
{leader}(nselect:6) 	 	 {nationalist leader}(nselect:0)
{leader}(nselect:6) 	 	 {pied piper}(nselect:0)
{leader}(nselect:6) 	 	 {point man}(nselect:0)
{leader}(nselect:6) 	 	 {point woman}(nselect:0)
{leader}(nselect:6) 	 	 {puppet ruler, puppet leader}(nselect:0)
{leader}(nselect:6) 	 	 {religious leader}(nselect:0)
{leader}(nselect:6) 	 	 {scoutmaster}(nselect:0)
{leader}(nselect:6) 	 	 {spearhead}(nselect:0)
{leader}(nselect:6) 	 	 {strike leader}(nselect:0)
{leader}(nselect:6) 	 	 {superior, higher-up, superordinate}(nselect:0)
{leader}(nselect:6) 	 	 {torchbearer}(nselect:0)
{leader}(nselect:6) 	 	 {trainer}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {worker}(nselect:0)
{worker}(nselect:0) 	 	 {skilled worker, trained worker, skilled workman}(nselect:0)
{skilled worker, trained worker, skilled workman}(nselect:0) 	 	 {official, functionary}(nselect:0)
{official, functionary}(nselect:0) 	 	 {apparatchik}(nselect:0)
{official, functionary}(nselect:0) 	 	 {appointee}(nselect:0)
{official, functionary}(nselect:0) 	 	 {bailiff}(nselect:0)
{official, functionary}(nselect:0) 	 	 {beadle}(nselect:0)
{official, functionary}(nselect:0) 	 	 {bureaucrat, administrative official}(nselect:0)
{official, functionary}(nselect:0) 	 	 {caretaker}(nselect:0)
{official, functionary}(nselect:0) 	 	 {censor}(nselect:0)
{official, functionary}(nselect:0) 	 	 {census taker, enumerator}(nselect:0)
{official, functionary}(nselect:0) 	 	 {church officer}(nselect:0)
{official, functionary}(nselect:0) 	 	 {city father}(nselect:0)
{official, functionary}(nselect:0) 	 	 {civil servant}(nselect:0)
{official, functionary}(nselect:0) 	 	 {commissar, political commissar}(nselect:0)
