root(nselect:0) 	 	 Verbo(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {powderer}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {preserver}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {propositus}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {public relations person}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {pursuer}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {pussycat}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {quarter}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {quitter}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {radical}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {realist}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {rectifier}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {redhead, redheader, red-header, carrottop}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {registrant}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {reliever, allayer, comforter}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {repeater}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {rescuer, recoverer, saver}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {rester}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {restrainer, controller}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {revenant}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {rich person, wealthy person, have}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {right-hander, right hander, righthander}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {riser}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {romper}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {roundhead}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {ruler, swayer}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {rusher}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {scientist}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {scratcher}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {second-rater, mediocrity}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {seeder, cloud seeder}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {seeker, searcher, quester}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {segregate}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {sentimentalist, romanticist}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {sex object}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {sex symbol}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {shaker, mover and shaker}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {showman}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {signer, signatory}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {simpleton, simple}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {six-footer}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {skidder, slider, slipper}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {slave}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {slave}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {sleepyhead}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {sloucher}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {small person}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {smasher}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {smiler}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {sneezer}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {sniffer}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {sniffler, sniveler}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {snuffer}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {snuffler}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {socializer, socialiser}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {sort}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {sounding board}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {sphinx}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {spitter, expectorator}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {sport}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {sprawler}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {spurner}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {squinter, squint-eye}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {stifler, smotherer}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {stigmatic, stigmatist}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {stooper}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {stranger}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {struggler}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {subject, case, guinea pig}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {supernumerary}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {surrenderer, yielder}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {survivalist}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {survivor}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {suspect}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {tagger}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {tagger}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {tapper}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {tempter}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {termer}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {terror, scourge, threat}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {testator, testate}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {thin person, skin and bones, scrag}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {third-rater}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {thrower}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {tiger}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {totemist}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {toucher}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {transfer, transferee}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {transsexual, transexual}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {transvestite, cross-dresser}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {trier, attempter, essayer}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {turner}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {tyrant}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {undoer, opener, unfastener, untier}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {user}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {vanisher}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {victim, dupe}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {Victorian}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {visionary}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {visually impaired person}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {waiter}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {waker}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {walk-in}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {wanter, needer}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {ward}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {warrior}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {watcher}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {weakling, doormat, wuss}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {weasel}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {wiggler, wriggler, squirmer}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {winker}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {withholder}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {witness}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {worldling}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {yawner}(nselect:0)
{organism, being}(nselect:0) 	 	 {animal, animate being, beast, brute, creature, fauna}(nselect:0)
{animal, animate being, beast, brute, creature, fauna}(nselect:0) 	 	 {chordate}(nselect:0)
{chordate}(nselect:0) 	 	 {vertebrate, craniate}(nselect:0)
{vertebrate, craniate}(nselect:0) 	 	 {mammal, mammalian}(nselect:0)
{mammal, mammalian}(nselect:0) 	 	 {placental, placental mammal, eutherian, eutherian mammal}(nselect:0)
{placental, placental mammal, eutherian, eutherian mammal}(nselect:0) 	 	 {ungulate, hoofed mammal}(nselect:0)
{ungulate, hoofed mammal}(nselect:0) 	 	 {even-toed ungulate, artiodactyl, artiodactyl mammal}(nselect:0)
{even-toed ungulate, artiodactyl, artiodactyl mammal}(nselect:0) 	 	 {ruminant}(nselect:0)
{ruminant}(nselect:0) 	 	 {bovid}(nselect:0)
{bovid}(nselect:0) 	 	 {bovine}(nselect:0)
{bovine}(nselect:0) 	 	 {ox, wild ox}(nselect:0)
{bovine}(nselect:0) 	 	 {Brahman, Brahma, Brahmin, Bos indicus}(nselect:0)
{bovine}(nselect:0) 	 	 {cattle, cows, kine, oxen, Bos taurus}(nselect:5)
{cattle, cows, kine, oxen, Bos taurus}(nselect:5) 	 	 {ox}(nselect:0)
{cattle, cows, kine, oxen, Bos taurus}(nselect:5) 	 	 {stirk}(nselect:0)
{cattle, cows, kine, oxen, Bos taurus}(nselect:5) 	 	 {bullock, steer}(nselect:0)
{cattle, cows, kine, oxen, Bos taurus}(nselect:5) 	 	 {bull}(nselect:0)
{cattle, cows, kine, oxen, Bos taurus}(nselect:5) 	 	 {cow, moo-cow}(nselect:0)
{cattle, cows, kine, oxen, Bos taurus}(nselect:5) 	 	 {beef, beef cattle}(nselect:0)
{cattle, cows, kine, oxen, Bos taurus}(nselect:5) 	 	 {Welsh, Welsh Black}(nselect:0)
{cattle, cows, kine, oxen, Bos taurus}(nselect:5) 	 	 {red poll}(nselect:0)
{cattle, cows, kine, oxen, Bos taurus}(nselect:5) 	 	 {Africander}(nselect:0)
{cattle, cows, kine, oxen, Bos taurus}(nselect:5) 	 	 {dairy cattle, dairy cow, milch cow, milk cow, milcher, milker}(nselect:0)
{cattle, cows, kine, oxen, Bos taurus}(nselect:5) 	 	 {Devon}(nselect:0)
{cattle, cows, kine, oxen, Bos taurus}(nselect:5) 	 	 {grade}(nselect:0)
{organism, being}(nselect:0) 	 	 {benthos}(nselect:0)
{organism, being}(nselect:0) 	 	 {dwarf}(nselect:0)
{organism, being}(nselect:0) 	 	 {heterotroph}(nselect:0)
{organism, being}(nselect:0) 	 	 {parent}(nselect:0)
{organism, being}(nselect:0) 	 	 {plant, flora, plant life}(nselect:0)
{organism, being}(nselect:0) 	 	 {native}(nselect:0)
{organism, being}(nselect:0) 	 	 {recombinant}(nselect:0)
{organism, being}(nselect:0) 	 	 {conspecific}(nselect:0)
{organism, being}(nselect:0) 	 	 {carrier}(nselect:0)
{organism, being}(nselect:0) 	 	 {denizen}(nselect:0)
{organism, being}(nselect:0) 	 	 {amphidiploid}(nselect:0)
{organism, being}(nselect:0) 	 	 {diploid}(nselect:0)
{organism, being}(nselect:0) 	 	 {haploid}(nselect:0)
{organism, being}(nselect:0) 	 	 {heteroploid}(nselect:0)
{organism, being}(nselect:0) 	 	 {polyploid}(nselect:0)
{organism, being}(nselect:0) 	 	 {animalcule, animalculum}(nselect:0)
{organism, being}(nselect:0) 	 	 {microorganism, micro-organism}(nselect:0)
{organism, being}(nselect:0) 	 	 {aerobe}(nselect:0)
{organism, being}(nselect:0) 	 	 {anaerobe}(nselect:0)
{organism, being}(nselect:0) 	 	 {hybrid, crossbreed, cross}(nselect:0)
{organism, being}(nselect:0) 	 	 {polymorph}(nselect:0)
{organism, being}(nselect:0) 	 	 {relative, congener, congenator, congeneric}(nselect:0)
{organism, being}(nselect:0) 	 	 {plankton}(nselect:0)
{organism, being}(nselect:0) 	 	 {nekton}(nselect:0)
{organism, being}(nselect:0) 	 	 {parasite}(nselect:0)
{organism, being}(nselect:0) 	 	 {host}(nselect:0)
{organism, being}(nselect:0) 	 	 {commensal}(nselect:0)
{organism, being}(nselect:0) 	 	 {myrmecophile}(nselect:0)
{organism, being}(nselect:0) 	 	 {eukaryote, eucaryote}(nselect:0)
{organism, being}(nselect:0) 	 	 {prokaryote, procaryote}(nselect:0)
{organism, being}(nselect:0) 	 	 {zooid}(nselect:0)
{organism, being}(nselect:0) 	 	 {clone, clon}(nselect:0)
{organism, being}(nselect:0) 	 	 {atavist, throwback}(nselect:0)
{organism, being}(nselect:0) 	 	 {individual}(nselect:0)
{organism, being}(nselect:0) 	 	 {mascot}(nselect:0)
{organism, being}(nselect:0) 	 	 {mutant, mutation, variation, sport}(nselect:0)
{organism, being}(nselect:0) 	 	 {postdiluvian}(nselect:0)
{organism, being}(nselect:0) 	 	 {sitter}(nselect:0)
{organism, being}(nselect:0) 	 	 {stander}(nselect:0)
{organism, being}(nselect:0) 	 	 {utterer, vocalizer, vocaliser}(nselect:0)
{organism, being}(nselect:0) 	 	 {fungus}(nselect:0)
{organism, being}(nselect:0) 	 	 {nonvascular organism}(nselect:0)
{organism, being}(nselect:0) 	 	 {relict}(nselect:0)
{organism, being}(nselect:0) 	 	 {saprophyte, saprophytic organism}(nselect:0)
{organism, being}(nselect:0) 	 	 {saprobe}(nselect:0)
{organism, being}(nselect:0) 	 	 {katharobe}(nselect:0)
{whole, unit}(nselect:0) 	 	 {artifact, artefact}(nselect:0)
{artifact, artefact}(nselect:0) 	 	 {instrumentality, instrumentation}(nselect:0)
{instrumentality, instrumentation}(nselect:0) 	 	 {medium}(nselect:0)
{medium}(nselect:0) 	 	 {print media}(nselect:0)
{print media}(nselect:0) 	 	 {press, public press}(nselect:0)
{press, public press}(nselect:0) 	 	 {free press}(nselect:0)
{press, public press}(nselect:0) 	 	 {newspaper, paper}(nselect:0)
{press, public press}(nselect:0) 	 	 {magazine, mag}(nselect:5)
{magazine, mag}(nselect:5) 	 	 {colour supplement}(nselect:0)
{magazine, mag}(nselect:5) 	 	 {comic book}(nselect:0)
{magazine, mag}(nselect:5) 	 	 {news magazine}(nselect:0)
{magazine, mag}(nselect:5) 	 	 {pulp, pulp magazine}(nselect:0)
{magazine, mag}(nselect:5) 	 	 {slick, slick magazine, glossy}(nselect:0)
{magazine, mag}(nselect:5) 	 	 {trade magazine}(nselect:0)
{artifact, artefact}(nselect:0) 	 	 {creation}(nselect:0)
{creation}(nselect:0) 	 	 {product, production}(nselect:0)
{product, production}(nselect:0) 	 	 {work, piece of work}(nselect:0)
{work, piece of work}(nselect:0) 	 	 {publication}(nselect:0)
{publication}(nselect:0) 	 	 {reissue, reprint, reprinting}(nselect:0)
{publication}(nselect:0) 	 	 {new edition}(nselect:0)
{publication}(nselect:0) 	 	 {book}(nselect:0)
{publication}(nselect:0) 	 	 {volume}(nselect:0)
{publication}(nselect:0) 	 	 {read}(nselect:0)
{publication}(nselect:0) 	 	 {impression, printing}(nselect:0)
{publication}(nselect:0) 	 	 {collection, compendium}(nselect:0)
{publication}(nselect:0) 	 	 {periodical}(nselect:0)
{publication}(nselect:0) 	 	 {tip sheet}(nselect:0)
{publication}(nselect:0) 	 	 {reference, source}(nselect:0)
{publication}(nselect:0) 	 	 {republication}(nselect:0)
{publication}(nselect:0) 	 	 {magazine, mag}(nselect:5)
{magazine, mag}(nselect:5) 	 	 {colour supplement}(nselect:0)
{magazine, mag}(nselect:5) 	 	 {comic book}(nselect:0)
{magazine, mag}(nselect:5) 	 	 {news magazine}(nselect:0)
{magazine, mag}(nselect:5) 	 	 {pulp, pulp magazine}(nselect:0)
{magazine, mag}(nselect:5) 	 	 {slick, slick magazine, glossy}(nselect:0)
{magazine, mag}(nselect:5) 	 	 {trade magazine}(nselect:0)
{artifact, artefact}(nselect:0) 	 	 {structure, construction}(nselect:0)
{structure, construction}(nselect:0) 	 	 {building complex, complex}(nselect:0)
{building complex, complex}(nselect:0) 	 	 {plant, works, industrial plant}(nselect:0)
{plant, works, industrial plant}(nselect:0) 	 	 {bottling plant}(nselect:0)
{plant, works, industrial plant}(nselect:0) 	 	 {brewery}(nselect:0)
{plant, works, industrial plant}(nselect:0) 	 	 {distillery, still}(nselect:0)
{plant, works, industrial plant}(nselect:0) 	 	 {mint}(nselect:0)
{plant, works, industrial plant}(nselect:0) 	 	 {packinghouse, packing plant}(nselect:0)
{plant, works, industrial plant}(nselect:0) 	 	 {recycling plant}(nselect:0)
{plant, works, industrial plant}(nselect:0) 	 	 {refinery}(nselect:0)
{plant, works, industrial plant}(nselect:0) 	 	 {saltworks}(nselect:0)
{plant, works, industrial plant}(nselect:0) 	 	 {sewage disposal plant, disposal plant}(nselect:0)
{plant, works, industrial plant}(nselect:0) 	 	 {smelter, smeltery}(nselect:0)
{plant, works, industrial plant}(nselect:0) 	 	 {factory, mill, manufacturing plant, manufactory}(nselect:4)
{factory, mill, manufacturing plant, manufactory}(nselect:4) 	 	 {assembly plant}(nselect:0)
{factory, mill, manufacturing plant, manufactory}(nselect:4) 	 	 {automobile factory, auto factory, car factory}(nselect:0)
{factory, mill, manufacturing plant, manufactory}(nselect:4) 	 	 {cannery}(nselect:0)
{factory, mill, manufacturing plant, manufactory}(nselect:4) 	 	 {chemical plant}(nselect:0)
{factory, mill, manufacturing plant, manufactory}(nselect:4) 	 	 {foundry, metalworks}(nselect:0)
{factory, mill, manufacturing plant, manufactory}(nselect:4) 	 	 {lumbermill, sawmill}(nselect:0)
{factory, mill, manufacturing plant, manufactory}(nselect:4) 	 	 {paper mill}(nselect:0)
{factory, mill, manufacturing plant, manufactory}(nselect:4) 	 	 {stamp mill, stamping mill}(nselect:0)
{factory, mill, manufacturing plant, manufactory}(nselect:4) 	 	 {steel mill, steelworks, steel plant, steel factory}(nselect:0)
{factory, mill, manufacturing plant, manufactory}(nselect:4) 	 	 {sweatshop}(nselect:0)
{factory, mill, manufacturing plant, manufactory}(nselect:4) 	 	 {textile mill}(nselect:0)
{object, physical object}(nselect:0) 	 	 {location}(nselect:0)
{location}(nselect:0) 	 	 {region}(nselect:0)
{region}(nselect:0) 	 	 {district, territory, territorial dominion, dominion}(nselect:0)
{district, territory, territorial dominion, dominion}(nselect:0) 	 	 {administrative district, administrative division, territorial division}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {borough}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {canton}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {city}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {commune}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {country, state, land}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {county}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {county palatine}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {department}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {federal district}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {reservation, reserve}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {school district}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {shire}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {municipality}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {prefecture}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {township, town}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {ward}(nselect:0)
{administrative district, administrative division, territorial division}(nselect:0) 	 	 {state, province}(nselect:1)
{state, province}(nselect:1) 	 	 {commonwealth}(nselect:0)
{state, province}(nselect:1) 	 	 {eparchy}(nselect:0)
{state, province}(nselect:1) 	 	 {American state}(nselect:0)
{state, province}(nselect:1) 	 	 {Italian region}(nselect:0)
{state, province}(nselect:1) 	 	 {Canadian province}(nselect:0)
{state, province}(nselect:1) 	 	 {Australian state}(nselect:0)
{state, province}(nselect:1) 	 	 {Soviet Socialist Republic}(nselect:0)
{physical entity}(nselect:0) 	 	 {causal agent, cause, causal agency}(nselect:0)
{causal agent, cause, causal agency}(nselect:0) 	 	 {person, individual, someone, somebody, mortal, soul}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:0) 	 	 {leader}(nselect:0)
{leader}(nselect:0) 	 	 {presiding officer}(nselect:0)
{presiding officer}(nselect:0) 	 	 {moderator}(nselect:0)
{presiding officer}(nselect:0) 	 	 {moderator}(nselect:0)
{presiding officer}(nselect:0) 	 	 {Speaker}(nselect:0)
{presiding officer}(nselect:0) 	 	 {president, chairman, chairwoman, chair, chairperson}(nselect:7)
{president, chairman, chairwoman, chair, chairperson}(nselect:7) 	 	 {Kalon Tripa}(nselect:0)
{president, chairman, chairwoman, chair, chairperson}(nselect:7) 	 	 {vice chairman}(nselect:0)
{leader}(nselect:0) 	 	 {lawgiver, lawmaker}(nselect:0)
{lawgiver, lawmaker}(nselect:0) 	 	 {legislator}(nselect:0)
{legislator}(nselect:0) 	 	 {backbencher}(nselect:0)
{legislator}(nselect:0) 	 	 {congressman, congresswoman, representative}(nselect:0)
{legislator}(nselect:0) 	 	 {crossbencher}(nselect:0)
{legislator}(nselect:0) 	 	 {deputy}(nselect:0)
{legislator}(nselect:0) 	 	 {filibuster, filibusterer}(nselect:0)
{legislator}(nselect:0) 	 	 {floor leader}(nselect:0)
{legislator}(nselect:0) 	 	 {frontbencher}(nselect:0)
{legislator}(nselect:0) 	 	 {majority leader}(nselect:0)
{legislator}(nselect:0) 	 	 {minority leader}(nselect:0)
{legislator}(nselect:0) 	 	 {Parliamentarian, Member of Parliament}(nselect:0)
{legislator}(nselect:0) 	 	 {whip, party whip}(nselect:0)
{legislator}(nselect:0) 	 	 {senator}(nselect:6)
{senator}(nselect:6) 	 	 {state senator}(nselect:0)
{leader}(nselect:0) 	 	 {politician}(nselect:0)
{politician}(nselect:0) 	 	 {legislator}(nselect:0)
{legislator}(nselect:0) 	 	 {backbencher}(nselect:0)
{legislator}(nselect:0) 	 	 {congressman, congresswoman, representative}(nselect:0)
{legislator}(nselect:0) 	 	 {crossbencher}(nselect:0)
{legislator}(nselect:0) 	 	 {deputy}(nselect:0)
{legislator}(nselect:0) 	 	 {filibuster, filibusterer}(nselect:0)
{legislator}(nselect:0) 	 	 {floor leader}(nselect:0)
{legislator}(nselect:0) 	 	 {frontbencher}(nselect:0)
{legislator}(nselect:0) 	 	 {majority leader}(nselect:0)
{legislator}(nselect:0) 	 	 {minority leader}(nselect:0)
{legislator}(nselect:0) 	 	 {Parliamentarian, Member of Parliament}(nselect:0)
{legislator}(nselect:0) 	 	 {whip, party whip}(nselect:0)
{legislator}(nselect:0) 	 	 {senator}(nselect:6)
{senator}(nselect:6) 	 	 {state senator}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:0) 	 	 {worker}(nselect:0)
{worker}(nselect:0) 	 	 {skilled worker, trained worker, skilled workman}(nselect:0)
{skilled worker, trained worker, skilled workman}(nselect:0) 	 	 {official, functionary}(nselect:0)
{official, functionary}(nselect:0) 	 	 {apparatchik}(nselect:0)
{official, functionary}(nselect:0) 	 	 {appointee}(nselect:0)
{official, functionary}(nselect:0) 	 	 {bailiff}(nselect:0)
{official, functionary}(nselect:0) 	 	 {beadle}(nselect:0)
{official, functionary}(nselect:0) 	 	 {bureaucrat, administrative official}(nselect:0)
{official, functionary}(nselect:0) 	 	 {caretaker}(nselect:0)
{official, functionary}(nselect:0) 	 	 {censor}(nselect:0)
{official, functionary}(nselect:0) 	 	 {census taker, enumerator}(nselect:0)
{official, functionary}(nselect:0) 	 	 {church officer}(nselect:0)
{official, functionary}(nselect:0) 	 	 {city father}(nselect:0)
{official, functionary}(nselect:0) 	 	 {civil servant}(nselect:0)
{official, functionary}(nselect:0) 	 	 {commissar, political commissar}(nselect:0)
{official, functionary}(nselect:0) 	 	 {Comptroller General}(nselect:0)
{official, functionary}(nselect:0) 	 	 {Comptroller of the Currency}(nselect:0)
{official, functionary}(nselect:0) 	 	 {diplomat, diplomatist}(nselect:0)
{official, functionary}(nselect:0) 	 	 {elected official}(nselect:0)
{official, functionary}(nselect:0) 	 	 {equerry}(nselect:0)
{official, functionary}(nselect:0) 	 	 {fire marshall}(nselect:0)
{official, functionary}(nselect:0) 	 	 {fire warden, forest fire fighter, ranger}(nselect:0)
{official, functionary}(nselect:0) 	 	 {hearing examiner, hearing officer}(nselect:0)
{official, functionary}(nselect:0) 	 	 {holdover, hangover}(nselect:0)
{official, functionary}(nselect:0) 	 	 {incumbent, officeholder}(nselect:0)
{official, functionary}(nselect:0) 	 	 {Inquisitor}(nselect:0)
{official, functionary}(nselect:0) 	 	 {invalidator, voider, nullifier}(nselect:0)
{official, functionary}(nselect:0) 	 	 {judge, justice, jurist}(nselect:0)
{official, functionary}(nselect:0) 	 	 {licenser}(nselect:0)
{official, functionary}(nselect:0) 	 	 {macebearer, mace, macer}(nselect:0)
